Group,Aviary,Cage No,Species,Ring No,Gender,Proven/NP/S/C,Bird status
Parrot,Aruvi,A01,Timney Grey Parrot,GF 0 487,,Proven,
Parrot,Aruvi,A01,Timney Grey Parrot,GF 0 485,,Proven,
Parrot,Aruvi,A02,Timney Grey Parrot,CKR. 13,Female,Proven,
Parrot,Aruvi,A02,Timney Grey Parrot,13,Male,Proven,
Parrot,Aruvi,A03,Timney Grey Parrot,SV 0019,Male,Proven,
Parrot,Aruvi,A03,Timney Grey Parrot,VPW 287,Female,Proven,
Parrot,Aruvi,A04,Timney Grey Parrot,SG 279,Female,Proven,
Parrot,Aruvi,A04,Timney Grey Parrot,SG 270,Male,Proven,
Parrot,Aruvi,A05,Timney Grey Parrot,SG263,Female,proven,
Parrot,Aruvi,A05,Timney Grey Parrot,SG 273,Male,proven,
Parrot,Aruvi,A06,Timney Grey Parrot,SG 282,Female,proven,
Parrot,Aruvi,A06,Timney Grey Parrot,SG 382,Male,proven,
Parrot,Aruvi,A07,Timney Grey Parrot,SG 255,Male,Non proven,
Parrot,Aruvi,A07,Timney Grey Parrot,SG 288,Female,Non proven,
Parrot,Aruvi,A08,Timney Grey Parrot,VPW220,Female,proven,
Parrot,Aruvi,A08,Timney Grey Parrot,SG 384,Male,proven,
Parrot,Aruvi,A09,Timney Grey Parrot,SV 0010,Female,Proven,
Parrot,Aruvi,A09,Timney Grey Parrot,CKR 0001C,Male,Proven,
Parrot,Aruvi,A10,Timney Grey Parrot,VPW 274,Female,Proven,
Parrot,Aruvi,A10,Timney Grey Parrot,VPW 288,Male,Proven,
Parrot,Aruvi,A11,Timney Grey Parrot,CKR 0038,Female,Proven,
Parrot,Aruvi,A11,Timney Grey Parrot,JFS 46,Male,Proven,
Parrot,Aruvi,A12,Timney Grey Parrot,CKR 0011,Male,Proven,
Parrot,Aruvi,A12,Timney Grey Parrot,VPW 293,Female,Proven,
Cockatoo,Aruvi,A17,Timney Grey Parrot,JOC 8512,Female,Proven,
Cockatoo,Aruvi,A17,Timney Grey Parrot,CKR 0042,Male,Proven,
Cockatoo,Aruvi,A18,Galah Cockatoo,253T30906004,Male,Proven,
Cockatoo,Aruvi,A18,Galah Cockatoo,CR06K11,Female,Proven,
Amazon,Aruvi,A19,Cuban Amazon,AG1023,Female,Proven,
Amazon,Aruvi,A19,Cuban Amazon,BNA AZ 403436901195D,Male,Proven,
Amazon,Aruvi,A20,Red Lored Amazon,14AV,Female,Non proven,
Amazon,Aruvi,A20,Red Lored Amazon,16RBE33,Male,Non proven,
Amazon,Aruvi,A21,Double Yellow Headed Amazon,GFCL298,,Proven,
Amazon,Aruvi,A21,Double Yellow Headed Amazon,GFCL291,,Proven,
Amazon,Aruvi,A22,Red Lored Amazon,036B1,Male,Non proven,
Amazon,Aruvi,A22,Red Lored Amazon,170PV12,Female,Non proven,
Amazon,Aruvi,A23,Blue Fronted Amazon,10WA15,Male,Proven,
Amazon,Aruvi,A23,Blue Fronted Amazon,LDFC 853/016,Female,Proven,
Amazon,Aruvi,A24,Blue fronted amazon,Pavw199,female,Proven,
Amazon,Aruvi,A24,Blue fronted amazon,10WA17,Male,Proven,
Parrot,Aruvi,A25,Jardin,GSH 03,Female,Proven,
Parrot,Aruvi,A25,Jardin,101,Male,Proven,
Lorikeet,Garden,B01,Green Napped Lorikeet,YUV 295,Male,Adult,
Lorikeet,Garden,B02,Olive swainson lorikeet,CKR B 205,Female,Adult,
Lorikeet,Garden,B03,Red collar lorikeet,CKRF386,,Semi Adult,
Lorikeet,Garden,B03,Red collar lorikeet,CKRE1224,,Semi Adult,
Lorikeet,Garden,B04,Red collar lorikeet,CKRD059,,Semi Adult,
Lorikeet,Garden,B04,Swainson Lorikeet,CKRD674,,Semi Adult,
Lory,Garden,B05,Red Lory ,CKRD626,,Semi Adult,
Lory,Garden,B06,BLACK CAPPED LORY,CKRD1627,,Semi Adult,
Lory,Garden,B06,BLACK CAPPED LORY,CKRD1591,,Semi Adult,
Lory,Garden,B07,BLACK CAPPED LORY,CKRD693,,Semi Adult,
Lory,Garden,B08,YELLOW BIBBED LORY,CKRD1619,,Semi Adult,
Lory,Garden,B09,Red Lory ,CKRD1607,,Semi Adult,
Lory,Garden,B10,Red Lory ,CKRD1548,,Semi Adult,
Lory,Garden,B12,Red Lory ,CKRE1591,,Semi Adult,
Lory,Garden,B12,Red Lory ,CKRE1978,,Semi Adult,
Lory,Garden,B13,Red Lory ,CKRD625,,Semi Adult,
Lory,Garden,B13,Red Lory ,CKRE1636,,Semi Adult,
Lory,Garden,B14,Red Lory ,CKRD1527,,Semi Adult,
Lory,Garden,B15,Red Lory ,CKRE1563,,Semi Adult,
Lorikeet,Garden,B16,OLIVE RED COLLER LORIKEET,BL055,,Semi Adult,
Lorikeet,Garden,B16,Olive swainson lorikeet,CKRF428,,Semi Adult,
Lorikeet,Garden,B17,Red collar lorikeet,CKRE1917,,Semi Adult,
Lorikeet,Garden,B17,Red collar lorikeet,CKRE1272,,Semi Adult,
Lorikeet,Garden,B18,Swainson Lorikeet,CKRD667,,Semi Adult,
Lorikeet,Garden,B19,Swainson Lorikeet,CKRE1216,,Semi Adult,
Lorikeet,Garden,B19,Swainson Lorikeet,CKRD1408,,Semi Adult,
Lory,Garden,B20,CHATTERING LORY,CKRC400,,Semi Adult,
Lorikeet,Garden,B21,Swainson Lorikeet,CKRE1406,,Semi Adult,
Lorikeet,Garden,B21,Swainson Lorikeet,CKRE1255,,Semi Adult,
Lorikeet,Garden,B22,Olive swainson lorikeet,CKRE1926,,Semi Adult,
Cockatoo,Garden,C01,Triton Cockatoo,Gfc069,Vikram bird,Adult,
Conure,Garden,C02,Golden Conure,LHF 331,Female,Adult,
Conure,Garden,C03,Sun Conure,CKRE 1286,,Semi Adult,
Conure,Garden,C04,Sun Conure,CKRE 1571,,Semi Adult,
Conure,Garden,C05,Sun Conure,CKRF 117,,Semi Adult,
Conure,Garden,C06,Sun Conure,CKRF 817,,Semi Adult,
Conure,Garden,C07,Sun Conure,CKRE 1811,,Semi Adult,
Conure,Garden,C08,Sun Conure,CKRF 102,,Semi Adult,
Conure,Garden,C09,Sun Conure,CKRF 142,,Semi Adult,
Conure,Garden,C10,Sun Conure,CKRE 1645,,Semi Adult,
Conure,Garden,C12,Sun Conure,CKRF 101,,Semi Adult,
Conure,Garden,C13,Sun Conure,CKRE 1572,,Semi Adult,
Conure,Garden,C14,Sun Conure,CKRF 156,,Semi Adult,
Conure,Garden,C15,Sun Conure,CKRE 1342,,Semi Adult,
Conure,Garden,C16,Sun Conure,CKRF 141,,Semi Adult,
Conure,Garden,C17,Sun Conure,CKRE 1330,,Semi Adult,
Conure,Garden,C18,Sun Conure,CKRF 176,,Semi Adult,
Lorikeet,Garden,C22,Swainson Lory,CKRF590,Male,Semi Adult,
Lorikeet,Garden,C21,Swainson Lory,CKRF593,Male,Semi Adult,
Lorikeet,Garden,C22,Swainson Lory,CKRF580,Male,Semi Adult,
Lorikeet,Garden,C22,Swainson Lory,CKRF781,Male,Semi Adult,
Lorikeet,Garden,C21,Swainson Lory,CKRF767,Female,Semi Adult,
Lorikeet,Garden,C22,Swainson Lory,CKRF766,Female,Semi Adult,
Lorikeet,Garden,C21,Swainson Lory,CKRF360,Female,Semi Adult,
Lorikeet,Garden,C21,Swainson Lory,ACEIND2575,,Semi Adult,
Lory,Sales ,,Black Capped Chatting Lory,CKRF393,Male,Semi Adult,
Lory,Sales ,,Black Capped Chatting Lory,CKRF332,Female,Semi Adult,
Lory,Sales ,,Black Capped Chatting Lory,CKRF327,,Semi Adult,
Lory,Sales ,,Black Capped Lory,M040,,Semi Adult,
Lory,Sales ,,Black Capped Lory,M058,,Semi Adult,
Lory,Sales ,,Black Capped Lory,MCR047,,Semi Adult,
Conure,Sales ,,Crimson bellied Conure,CKRD 1906,Female,Semi Adult,
Conure,Sales ,,Crimson bellied Conure,CKR E 020,Female,Semi Adult,
Conure,Sales ,,Crimson Bellied Conure,CKRE017,Male,Semi Adult,
Conure,Sales ,,Crimson Bellied Conure,CKRE018,Male,Semi Adult,
Conure,Sales ,,Crimson Bellied Conure,CKRF411,Female,Semi Adult,
Lorikeet,Sales ,,Green Napped Lorikeet,CKRF366,Female,Semi Adult,
Lorikeet,Sales ,,Green Napped Lorikeet,ACEIND2572,,Semi Adult,
Lorikeet,Sales ,,Green Napped Lorikeet,ACEIND2574,,Semi Adult,
Cockatoo,Sales ,,MAJOR MITCHAL GALAH COCKATOO,CKRD1764,Male,Semi Adult,
Cockatoo,Sales ,,MAJOR MITCHAL GALAH COCKATOO,CKRD1692,Male,Semi Adult,
Conure,Sales ,,Nanday Conure,CKRD 618,Male,Semi Adult,
Conure,Sales ,,Nanday Conure,CKRF333,,Semi Adult,
Conure,Sales ,,Nanday Conure,CKRF331,,Semi Adult,
Conure,Sales ,,Nanday Conure,CKRF286,,Semi Adult,
Conure,Sales ,,Nanday Conure,CKRF281,,Semi Adult,
Conure,Sales ,,Nanday Conure,CKRF284,,Semi Adult,
Conure,Sales ,,Nanday Conure,ACEIND2567,,Semi Adult,
Conure,Sales ,,Nanday Conure,ACEIND2568,,Semi Adult,
Conure,Sales ,,Nanday Conure,ACEIND2569,,Semi Adult,
Conure,Sales ,,Nanday Conure,ACEIND2570,,Semi Adult,
Conure,Sales ,,Nanday Conure,ACEIND2571,,Semi Adult,
Conure,Sales ,,Nansun Conure,CKRF 1043,Male,Semi Adult,
Conure,Sales ,,Nansun Conure,CKRF 1028,Male,Semi Adult,
Conure,Sales ,,Nansun Conure,CKRF 1033,Male,Semi Adult,
Conure,Sales ,,Nansun Conure,CKRF 1026,Male,Semi Adult,
Conure,Sales ,,Nansun Conure,CKRF 1050,Male,Semi Adult,
Conure,Sales ,,Nansun Conure,FC 94,Male,Semi Adult,
Conure,Sales ,,Nansun Conure,CKRF 1029,Female,Semi Adult,
Parrot,Sales ,,Red Belly,CKRF282,,Semi Adult,
Parrot,Sales ,,Red Belly,CKRF283,,Semi Adult,
Parrot,Sales ,,Red Belly,CKRF354,,Semi Adult,
Lorikeet,Sales ,,Red Collard Lory,CKRF776,Female,Semi Adult,
Lorikeet,Sales ,,Red Collard Lory,CKRF362,Male,Semi Adult,
Lorikeet,Sales ,,Red Collard Lory,CKRF355,Female,Semi Adult,
Lorikeet,Sales ,,Red Collard Lory,CKRF370,Female,Semi Adult,
Lorikeet,Sales ,,Red Collard Lory,CKRF779,Male,Semi Adult,
Lorikeet,Sales ,,Red Collard Lory,ACEIND2573,,Semi Adult,
Conure,Sales ,,Redmask Conure,CKRF 1023,Male,Semi Adult,
Conure,Sales ,,Redmask Conure,CKRF 1042,Male,Semi Adult,
Conure,Sales ,,Sun & Janday Conure,CKR E 2133,Male,Semi Adult,
Conure,Sales ,,Sun Conure,GB 3218,Male,Semi Adult,
Conure,Sales ,,Sun Conure,GB 2869,Male,Semi Adult,
Lorikeet,Sales ,,Swainson Lorikeet,CKRF777,Male,Semi Adult,
Lorikeet,Sales ,,Swainson Lorikeet,CKRF405,Female,Semi Adult,
Lorikeet,Sales ,,Swainson Lory,CKRF765,Female,Semi Adult,
Lorikeet,Sales ,,Swainson Lory,CKRF579,Female,Semi Adult,
Lorikeet,Sales ,,Swainson Lory,CKRF358,Male,Semi Adult,
Lorikeet,Sales ,,Swainson Lory,ACEIND2576,,Semi Adult,
Pionus,Sales ,,White Headed pionus,CKRD 719 no ring,Female,Semi Adult,
Cockatoo,Solai,S01,Major Mitchell's Cockatoo,89PINZ14,Male,Adult,
Cockatoo,Solai,S02,Triton Cockatoo,CKR A 069,Male,Adult,
Cockatoo,Solai,S03,Mollucan Cockatoo,GF CL 618,Female,Adult,
Cockatoo,Solai,S03,Mollucan Cockatoo,SSG-176,MALE,Adult,
Cockatoo,Solai,S04,Mollucan Cockatoo,PAB W 031,Female,Non proven,
Cockatoo,Solai,S04,Mollucan Cockatoo,SSG-194,MALE,Non proven,
Parrot,Solai,S05,Gray parrots,P3 SG27,,Adult,
Parrot,Solai,S05,Gray parrots,SV 002,Female,Adult,
Parrot,Solai,S05,Gray parrots,CKR 0005,Female,Adult,
Cockatoo,Solai,S06,Major Mitchell's Cockatoo,93PINZ14,Male,Adult,
Macaw,Solai,S07,Blue and Gold Macaw,,,Semi Adult,
Cockatoo,Solai,S08,Medium Sulphur Cockatoo,CKR A 037,Male,Adult,
Macaw,Solai,S09,Blue and Gold Macaw,CKR 0056,Male,Proven,
Macaw,Solai,S09,Blue and Gold Macaw,JFS207,Female,Proven,
Macaw,Solai,S10,GREEN WING MACAW,GF01,Male,Non proven,
Macaw,Solai,S10,GREEN WING MACAW,M01,Female,Non proven,
Macaw,Solai,S11,Blue and Gold Macaw,NB125NT2,Male,Non proven,
Macaw,Solai,S11,Blue and Gold Macaw,JFS218,Female,Non proven,
Macaw,Solai,S12,Blue and Gold Macaw,JFS221,Female,Non proven,
Macaw,Solai,S12,Blue and Gold Macaw,JP416,Male,Non proven,
Macaw,Solai,S14,Scarlet Macaw, LA 414,Female,Non proven,
Macaw,Solai,S14,Scarlet Macaw,LFC 3,Male,Non proven,
Macaw,Thenral,T01,GREEN WING MACAW,,,Proven,
Macaw,Thenral,T01,GREEN WING MACAW,,,Proven,
Macaw,Thenral,T02,Scarlet Macaw,No ring(GFO 039),Male,Non proven,
Macaw,Thenral,T02,Scarlet Macaw,13(VJ013),Female,Non proven,
Macaw,Thenral,T03,Scarlet Macaw,CY 435,Female,Proven,
Macaw,Thenral,T03,Scarlet Macaw,LH M 22,,Proven,
Macaw,Thenral,T04,Scarlet Macaw,FF A 401(EFA401),,Proven,
Macaw,Thenral,T04,Scarlet Macaw,019(SAT 8019),,Proven,
Macaw,Thenral,T05,Scarlet Macaw,OO32,Male,Proven,
Macaw,Thenral,T05,Scarlet Macaw,OO38,Female,Proven,
Macaw,Thenral,T06,Blue and Gold Macaw,022,Male,Proven,
Macaw,Thenral,T06,Blue and Gold Macaw,CKR 0083,Female,Proven,
Macaw,Thenral,T07,Blue and Gold Macaw,JP404,Female,Proven,
Macaw,Thenral,T07,Blue and Gold Macaw,JFS210,Male,Proven,
Macaw,Thenral,T08,Blue and Gold Macaw,CKR 24,Female,Proven,
Macaw,Thenral,T08,Blue and Gold Macaw,CKR 20,Male,Proven,
Macaw,Thenral,T09,Blue and Gold Macaw,,,Proven,
Macaw,Thenral,T09,Blue and Gold Macaw,,,Proven,
Macaw,Thenral,T10,Blue and Gold Macaw,JFS201,Male,Non proven,
Macaw,Thenral,T10,Blue and Gold Macaw,CKR 23,Female,Non proven,
Macaw,Thenral,T11,Blue and Gold Macaw,JFS208,Male,Proven,
Macaw,Thenral,T11,Blue and Gold Macaw,JFS223,Female,Proven,
Cockatoo,Vasantham,V01,Mollucan Cockatoo,,Male,Proven,
Cockatoo,Vasantham,V01,Mollucan Cockatoo,PABW 052,Female,Proven,
Cockatoo,Vasantham,V02,Mollucan Cockatoo,PABW 001,Male,Proven,
Cockatoo,Vasantham,V02,Mollucan Cockatoo,PABW 036,Female,Proven,
Cockatoo,Vasantham,V03,Goffin Cockatoo,167,Male,Proven,
Cockatoo,Vasantham,V03,Goffin Cockatoo,175,Female,Proven,
Cockatoo,Vasantham,V04,Goffin Cockatoo,141,Male,Non proven,
Cockatoo,Vasantham,V04,Goffin Cockatoo,157,Female,Non proven,
Cockatoo,Vasantham,V05,Medium Sulphur Cockatoo,CKR 0002,Female,Proven,
Cockatoo,Vasantham,V05,Medium Sulphur Cockatoo,CKR 03,Male,Proven,
Cockatoo,Vasantham,V06,Triton Cockatoo,CKR A023,Female,Proven,
Cockatoo,Vasantham,V06,Triton Cockatoo,CKR A 044,Male,Proven,
Cockatoo,Vasantham,V07,Triton Cockatoo,No Ring,Male,Non proven,
Cockatoo,Vasantham,V07,Triton Cockatoo,CKR A 042,Female,Non proven,
Cockatoo,Vasantham,V08,Triton Cockatoo,CKR A 025,Female,Proven,
Cockatoo,Vasantham,V08,Triton Cockatoo,CKR A 013,Male,Proven,
Cockatoo,Vasantham,V09,Triton Cockatoo,CKR 26/28,Male,Proven,
Cockatoo,Vasantham,V09,Triton Cockatoo,CKR A 019,Female,Proven,
Cockatoo,Vasantham,V10,Umbrella Cockatoo,CKR C 006,Male,Proven,
Cockatoo,Vasantham,V10,Umbrella Cockatoo,No Ring,Female,Proven,
Cockatoo,Vasantham,V11,Triton Cockatoo,CKR A 020,Male,single,
Cockatoo,Vasantham,V12,Umbrella Cockatoo,CKR 10,Female,Proven,
Cockatoo,Vasantham,V12,Umbrella Cockatoo,No Ring,Male,Proven,
Cockatoo,Vasantham,V13,Umbrella Cockatoo,CKR 13,Female,Proven,
Cockatoo,Vasantham,V13,Umbrella Cockatoo,No Ring,Male,Proven,
