Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
CKR 121,Conure,Janday Conure,Female,A01,Sun Conure  Aviary,Proven,
CKR A 137,Conure,Janday Conure,Male,A01,Sun Conure  Aviary,Proven,
CKR B 157,Conure,Sun Conure,Male,A02,Sun Conure  Aviary,Proven,
GB 3071,Conure,Sun Conure,Female,A02,Sun Conure  Aviary,Proven,
GB 2825,Conure,Sun Conure,Female,A03,Sun Conure  Aviary,Proven,
GB 3195,Conure,Sun Conure,Male,A03,Sun Conure  Aviary,Proven,
CKR D 208,Conure,Sun Conure,Female,A04,Sun Conure  Aviary,Proven,
CKR D 178,Conure,Sun Conure,Male,A04,Sun Conure  Aviary,Proven,
CKR C 332,Conure,Sun Conure,Female,A05,Sun Conure  Aviary,Proven,
CKR D 282,Conure,Sun Conure,Male,A05,Sun Conure  Aviary,Proven,
GB 3070,Conure,Sun Conure,Female,A06,Sun Conure  Aviary,Proven,
CKR B 130,Conure,Sun Conure,Male,A06,Sun Conure  Aviary,Proven,
GB 2902,Conure,Sun Conure,Female,A07,Sun Conure  Aviary,Proven,
GB 3204,Conure,Sun Conure,Male,A07,Sun Conure  Aviary,Proven,
GB 2805,Conure,Sun Conure,Male,A08,Sun Conure  Aviary,Proven,
GB 2915,Conure,Sun Conure,Female,A08,Sun Conure  Aviary,Proven,
CKR 07,Conure,Sun Conure,NA,A09,Sun Conure  Aviary,Proven,
MVR 504,Conure,Sun Conure,NA,A09,Sun Conure  Aviary,Proven,
GB 2872,Conure,Sun Conure,Male,A10,Sun Conure  Aviary,Proven,
CKR B 115,Conure,Sun Conure,Female,A10,Sun Conure  Aviary,Proven,
CKR D 1203,Conure,Sun Conure,Male,A11,Sun Conure  Aviary,Proven,
CKR D 344,Conure,Sun Conure,Female,A11,Sun Conure  Aviary,Proven,
CKR D 841,Conure,Sun Conure,Female,A12,Sun Conure  Aviary,Proven,
GB 2905,Conure,Sun Conure,Male,A12,Sun Conure  Aviary,Proven,
GB 3107,Conure,Sun Conure,Female,A13,Sun Conure  Aviary,Proven,
NO Ring,Conure,Sun Conure,NA,A13,Sun Conure  Aviary,Proven,
GB 3124,Conure,Sun Conure,Female,A14,Sun Conure  Aviary,Proven,
GB 2787,Conure,Sun Conure,Male,A14,Sun Conure  Aviary,Proven,
CKR D 314,Conure,Sun Conure,Male,A15,Sun Conure  Aviary,Proven,
CKR D 290,Conure,Sun Conure,Female,A15,Sun Conure  Aviary,Proven,
GB 2855,Conure,Sun Conure,Female,A16,Sun Conure  Aviary,Proven,
GB 3023,Conure,Sun Conure,Male,A16,Sun Conure  Aviary,Proven,
CKR D 287,Conure,Sun Conure,Female,A17,Sun Conure  Aviary,Proven,
CKR C 350,Conure,Sun Conure,Male,A17,Sun Conure  Aviary,Proven,
GB 3174,Conure,Sun Conure,Male,A18,Sun Conure  Aviary,Proven,
GB 3198,Conure,Sun Conure,Female,A18,Sun Conure  Aviary,Proven,
GB 3072,Conure,Sun Conure,Female,A19,Sun Conure  Aviary,Proven,
GB 2896,Conure,Sun Conure,Male,A19,Sun Conure  Aviary,Proven,
GB 2791,Conure,Sun Conure,Female,A20,Sun Conure  Aviary,Proven,
GB 2941,Conure,Sun Conure,Male,A20,Sun Conure  Aviary,Proven,
CKR C 337,Conure,Sun Conure,Male,A21,Sun Conure  Aviary,Proven,
CKR C 340,Conure,Sun Conure,Female,A21,Sun Conure  Aviary,Proven,
GB2785,Conure,Sun conure,Female,A22,Garden,Proven,
GB 2783,Conure,Sun conure,Male,A22,Garden,Proven,
GB 3022,Conure,Sun conure,Male,A23,Garden,Proven,
GB 2781,Conure,Sun conure,female,A23,Garden,Proven,
Ckr 190,Conure,Sun conure,Male,A24,Garden,Proven,
ckr 2788,Conure,Sun conure,Female,A24,Garden,Proven,
GB 2879,Conure,Sun Conure,Male,A25,Sun Conure  Aviary,Proven,
GB 3175,Conure,Sun Conure,Female,A25,Sun Conure  Aviary,Proven,
GB 2926,Conure,Sun Conure,Female,A26,Sun Conure  Aviary,Proven,
GB 3223,Conure,Sun Conure,Male,A26,Sun Conure  Aviary,Proven,
GF 0 407,Conure,Janday Conure,Male,A27,Sun Conure  Aviary,Proven,
GF 0 403,Conure,Janday Conure,Female,A27,Sun Conure  Aviary,Proven,
GB 2996,Conure,Sun Conure,Male,A28,Sun Conure  Aviary,Proven,
GB 3165,Conure,Sun Conure,Female,A28,Sun Conure  Aviary,Proven,
GB 2778,Conure,Sun Conure,Female,A29,Sun Conure  Aviary,Proven,
GB 2873,Conure,Sun Conure,Male,A29,Sun Conure  Aviary,Proven,
GB 2865,Conure,Sun Conure,Male,A30,Garden,Proven,
GB 3180,Conure,Sun Conure,Female,A30,Garden,Proven,
GB 2875,Conure,Sun Conure,Male,A31,Sun Conure  Aviary,Proven,
GB 3215,Conure,Sun Conure,Female,A31,Sun Conure  Aviary,Proven,
