S.No,Ring No,Group,Bird Species,Gender,Cage ,Aviary,Bird status,Status,Upload,Action
1,GF 0 487,Parrot,Timney Grey Parrot,,A01,Aruvi,,,,
2,GF 0 485,Parrot,Timney Grey Parrot,,A01,Aruvi,,,,
3,CKR. 13,Parrot,Timney Grey Parrot,Female,A02,Aruvi,,,,
4,13,Parrot,Timney Grey Parrot,Male,A02,Aruvi,,,,
5,SV 0019,Parrot,Timney Grey Parrot,Male,A03,Aruvi,,,,
6,VPW 287,Parrot,Timney Grey Parrot,Female,A03,Aruvi,,,,
7,SG 279,Parrot,Timney Grey Parrot,Female,A04,Aruvi,,,,
8,SG 270,Parrot,Timney Grey Parrot,Male,A04,Aruvi,,,,
9,SG263,Parrot,Timney Grey Parrot,Female,A05,Aruvi,,,,
10,SG 273,Parrot,Timney Grey Parrot,Male,A05,Aruvi,,,,
11,SG 282,Parrot,Timney Grey Parrot,Female,A06,Aruvi,,,,
12,SG 382,Parrot,Timney Grey Parrot,Male,A06,Aruvi,,,,
13,SG 255,Parrot,Timney Grey Parrot,Male,A07,Aruvi,,,,
14,SG 288,Parrot,Timney Grey Parrot,Female,A07,Aruvi,,,,
15,VPW220,Parrot,Timney Grey Parrot,Female,A08,Aruvi,,,,
16,SG 384,Parrot,Timney Grey Parrot,Male,A08,Aruvi,,,,
17,SV 0010,Parrot,Timney Grey Parrot,Female,A09,Aruvi,,,,
18,CKR 0001C,Parrot,Timney Grey Parrot,Male,A09,Aruvi,,,,
19,VPW 274,Parrot,Timney Grey Parrot,Female,A10,Aruvi,,,,
20,VPW 288,Parrot,Timney Grey Parrot,Male,A10,Aruvi,,,,
21,CKR 0038,Parrot,Timney Grey Parrot,Female,A11,Aruvi,,,,
22,JFS 46,Parrot,Timney Grey Parrot,Male,A11,Aruvi,,,,
23,CKR 0011,Parrot,Timney Grey Parrot,Male,A12,Aruvi,,,,
24,VPW 293,Parrot,Timney Grey Parrot,Female,A12,Aruvi,,,,
25,JOC 8512,Cockatoo,Timney Grey Parrot,Female,A17,Aruvi,,,,
26,CKR 0042,Cockatoo,Timney Grey Parrot,Male,A17,Aruvi,,,,
27,253T30906004,Cockatoo,Galah Cockatoo,Male,A18,Aruvi,,,,
28,CR06K11,Cockatoo,Galah Cockatoo,Female,A18,Aruvi,,,,
29,AG1023,Amazon,Cuban Amazon,Female,A19,Aruvi,,,,
30,BNA AZ 403436901195D,Amazon,Cuban Amazon,Male,A19,Aruvi,,,,
31,14AV,Amazon,Red Lored Amazon,Female,A20,Aruvi,,,,
32,16RBE33,Amazon,Red Lored Amazon,Male,A20,Aruvi,,,,
33,GFCL298,Amazon,Double Yellow Headed Amazon,,A21,Aruvi,,,,
34,GFCL291,Amazon,Double Yellow Headed Amazon,,A21,Aruvi,,,,
35,036B1,Amazon,Red Lored Amazon,Male,A22,Aruvi,,,,
36,170PV12,Amazon,Red Lored Amazon,Female,A22,Aruvi,,,,
37,10WA15,Amazon,Blue Fronted Amazon,Male,A23,Aruvi,,,,
38,LDFC 853/016,Amazon,Blue Fronted Amazon,Female,A23,Aruvi,,,,
39,Pavw199,Amazon,Blue fronted amazon,female,A24,Aruvi,,,,
40,10WA17,Amazon,Blue fronted amazon,Male,A24,Aruvi,,,,
41,GSH 03,Parrot,Jardin,Female,A25,Aruvi,,,,
42,101,Parrot,Jardin,Male,A25,Aruvi,,,,
43,YUV 295,Lorikeet,Green Napped Lorikeet,Male,B01,Garden,,,,
44,CKR B 205,Lorikeet,Olive swainson lorikeet,Female,B02,Garden,,,,
45,CKRF386,Lorikeet,Red collar lorikeet,,B03,Garden,,,,
46,CKRE1224,Lorikeet,Red collar lorikeet,,B03,Garden,,,,
47,CKRD059,Lorikeet,Red collar lorikeet,,B04,Garden,,,,
48,CKRD674,Lorikeet,Swainson Lorikeet,,B04,Garden,,,,
49,CKRD626,Lory,Red Lory ,,B05,Garden,,,,
50,CKRD1627,Lory,BLACK CAPPED LORY,,B06,Garden,,,,
51,CKRD1591,Lory,BLACK CAPPED LORY,,B06,Garden,,,,
52,CKRD693,Lory,BLACK CAPPED LORY,,B07,Garden,,,,
53,CKRD1619,Lory,YELLOW BIBBED LORY,,B08,Garden,,,,
54,CKRD1607,Lory,Red Lory ,,B09,Garden,,,,
55,CKRD1548,Lory,Red Lory ,,B10,Garden,,,,
56,CKRE1591,Lory,Red Lory ,,B12,Garden,,,,
57,CKRE1978,Lory,Red Lory ,,B12,Garden,,,,
58,CKRD625,Lory,Red Lory ,,B13,Garden,,,,
59,CKRE1636,Lory,Red Lory ,,B13,Garden,,,,
60,CKRD1527,Lory,Red Lory ,,B14,Garden,,,,
61,CKRE1563,Lory,Red Lory ,,B15,Garden,,,,
62,BL055,Lorikeet,OLIVE RED COLLER LORIKEET,,B16,Garden,,,,
63,CKRF428,Lorikeet,Olive swainson lorikeet,,B16,Garden,,,,
64,CKRE1917,Lorikeet,Red collar lorikeet,,B17,Garden,,,,
65,CKRE1272,Lorikeet,Red collar lorikeet,,B17,Garden,,,,
66,CKRD667,Lorikeet,Swainson Lorikeet,,B18,Garden,,,,
67,CKRE1216,Lorikeet,Swainson Lorikeet,,B19,Garden,,,,
68,CKRD1408,Lorikeet,Swainson Lorikeet,,B19,Garden,,,,
69,CKRC400,Lory,CHATTERING LORY,,B20,Garden,,,,
70,CKRE1406,Lorikeet,Swainson Lorikeet,,B21,Garden,,,,
71,CKRE1255,Lorikeet,Swainson Lorikeet,,B21,Garden,,,,
72,CKRE1926,Lorikeet,Olive swainson lorikeet,,B22,Garden,,,,
73,Gfc069,Cockatoo,Triton Cockatoo,Vikram bird,C01,Garden,,,,
74,LHF 331,Conure,Golden Conure,Female,C02,Garden,,,,
75,CKRE 1286,Conure,Sun Conure,,C03,Garden,,,,
76,CKRE 1571,Conure,Sun Conure,,C04,Garden,,,,
77,CKRF 117,Conure,Sun Conure,,C05,Garden,,,,
78,CKRF 817,Conure,Sun Conure,,C06,Garden,,,,
79,CKRE 1811,Conure,Sun Conure,,C07,Garden,,,,
80,CKRF 102,Conure,Sun Conure,,C08,Garden,,,,
81,CKRF 142,Conure,Sun Conure,,C09,Garden,,,,
82,CKRE 1645,Conure,Sun Conure,,C10,Garden,,,,
83,CKRF 101,Conure,Sun Conure,,C12,Garden,,,,
84,CKRE 1572,Conure,Sun Conure,,C13,Garden,,,,
85,CKRF 156,Conure,Sun Conure,,C14,Garden,,,,
86,CKRE 1342,Conure,Sun Conure,,C15,Garden,,,,
87,CKRF 141,Conure,Sun Conure,,C16,Garden,,,,
88,CKRE 1330,Conure,Sun Conure,,C17,Garden,,,,
89,CKRF 176,Conure,Sun Conure,,C18,Garden,,,,
90,CKRF590,Lorikeet,Swainson Lory,Male,C22,Garden,,,,
91,CKRF593,Lorikeet,Swainson Lory,Male,C21,Garden,,,,
92,CKRF580,Lorikeet,Swainson Lory,Male,C22,Garden,,,,
93,CKRF781,Lorikeet,Swainson Lory,Male,C22,Garden,,,,
94,CKRF767,Lorikeet,Swainson Lory,Female,C21,Garden,,,,
95,CKRF766,Lorikeet,Swainson Lory,Female,C22,Garden,,,,
96,CKRF360,Lorikeet,Swainson Lory,Female,C21,Garden,,,,
97,ACEIND2575,Lorikeet,Swainson Lory,,C21,Garden,,,,
98,CKRF393,Lory,Black Capped Chatting Lory,Male,,Sales ,,,,
99,CKRF332,Lory,Black Capped Chatting Lory,Female,,Sales ,,,,
100,CKRF327,Lory,Black Capped Chatting Lory,,,Sales ,,,,
101,M040,Lory,Black Capped Lory,,,Sales ,,,,
102,M058,Lory,Black Capped Lory,,,Sales ,,,,
103,MCR047,Lory,Black Capped Lory,,,Sales ,,,,
104,CKRD 1906,Conure,Crimson bellied Conure,Female,,Sales ,,,,
105,CKR E 020,Conure,Crimson bellied Conure,Female,,Sales ,,,,
106,CKRE017,Conure,Crimson Bellied Conure,Male,,Sales ,,,,
107,CKRE018,Conure,Crimson Bellied Conure,Male,,Sales ,,,,
108,CKRF411,Conure,Crimson Bellied Conure,Female,,Sales ,,,,
109,CKRF366,Lorikeet,Green Napped Lorikeet,Female,,Sales ,,,,
