Ring No,Group,Species,Gender,Cage No,Aviary,Bird status
GF 0 487,Parrot,Timney Grey Parrot,,A01,Aruvi,
GF 0 485,Parrot,Timney Grey Parrot,,A01,Aruvi,
CKR. 13,Parrot,Timney Grey Parrot,Female,A02,Aruvi,
13,Parrot,Timney Grey Parrot,Male,A02,Aruvi,
SV 0019,Parrot,Timney Grey Parrot,Male,A03,Aruvi,
VPW 287,Parrot,Timney Grey Parrot,Female,A03,Aruvi,
SG 279,Parrot,Timney Grey Parrot,Female,A04,Aruvi,
SG 270,Parrot,Timney Grey Parrot,Male,A04,Aruvi,
SG263,Parrot,Timney Grey Parrot,Female,A05,Aruvi,
SG 273,Parrot,Timney Grey Parrot,Male,A05,Aruvi,
SG 282,Parrot,Timney Grey Parrot,Female,A06,Aruvi,
SG 382,Parrot,Timney Grey Parrot,Male,A06,Aruvi,
SG 255,Parrot,Timney Grey Parrot,Male,A07,Aruvi,
SG 288,Parrot,Timney Grey Parrot,Female,A07,Aruvi,
VPW220,Parrot,Timney Grey Parrot,Female,A08,Aruvi,
SG 384,Parrot,Timney Grey Parrot,Male,A08,Aruvi,
SV 0010,Parrot,Timney Grey Parrot,Female,A09,Aruvi,
CKR 0001C,Parrot,Timney Grey Parrot,Male,A09,Aruvi,
VPW 274,Parrot,Timney Grey Parrot,Female,A10,Aruvi,
VPW 288,Parrot,Timney Grey Parrot,Male,A10,Aruvi,
CKR 0038,Parrot,Timney Grey Parrot,Female,A11,Aruvi,
JFS 46,Parrot,Timney Grey Parrot,Male,A11,Aruvi,
CKR 0011,Parrot,Timney Grey Parrot,Male,A12,Aruvi,
VPW 293,Parrot,Timney Grey Parrot,Female,A12,Aruvi,
JOC 8512,Cockatoo,Timney Grey Parrot,Female,A17,Aruvi,
CKR 0042,Cockatoo,Timney Grey Parrot,Male,A17,Aruvi,
253T30906004,Cockatoo,Galah Cockatoo,Male,A18,Aruvi,
CR06K11,Cockatoo,Galah Cockatoo,Female,A18,Aruvi,
AG1023,Amazon,Cuban Amazon,Female,A19,Aruvi,
BNA AZ 403436901195D,Amazon,Cuban Amazon,Male,A19,Aruvi,
