Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Bird status
Conure,New Aviary- L,L01,Janday Conure,CKRA137,Male,Semi Adult,
Conure,New Aviary- L,L02,Sun Conure,CKRF060,Female,Semi Adult,
Conure,New Aviary- L,L03,Sun Conure,NoRing 31,NA,Semi Adult,
Conure,New Aviary- L,L03,Sun Conure,CKRF194,NA,Semi Adult,
Conure,New Aviary- L,L04,Sun Conure,CKRE1969,Female,Semi Adult,
Conure,New Aviary- L,L04,Sun Conure,CKRF874,Female,Semi Adult,
Conure,New Aviary- L,L05,Sun Conure,CKRG501,Male,Semi Adult,
Conure,New Aviary- L,L05,Sun Conure,CKRG504,Female,Semi Adult,
Conure,New Aviary- L,L05,Sun Conure,CKRG564,Male,Semi Adult,
Conure,New Aviary- L,L05,Sun Conure,CKRF039A,Female,Semi Adult,
Conure,New Aviary- L,L06,Janday Conure,CKRG505,Male,Semi Adult,
Conure,New Aviary- L,L06,Sun Conure,CKRG037,Female,Semi Adult,
Conure,New Aviary- L,L06,Sun Conure,CKRF036A,Female,Semi Adult,
Conure,New Aviary- L,L06,Sun Conure,CKRF063A,Male,Semi Adult,
Conure,New Aviary- L,L07,Janday Conure,CKRF061A,Male,Semi Adult,
Conure,New Aviary- L,L07,Sun Conure,CKRG067,Female,Semi Adult,
Conure,New Aviary- L,L07,Sun Conure,CKRG027,Female,Semi Adult,
Conure,New Aviary- L,L07,Sun Conure,CKRF067A,Female,Semi Adult,
Conure,New Aviary- L,L08,Sun Conure,CKRF068A,Male,Semi Adult,
Conure,New Aviary- L,L08,Sun Conure,CKRG576,Male,Semi Adult,
Conure,New Aviary- L,L08,Sun Conure,CKRG575,Male,Semi Adult,
Conure,New Aviary- L,L08,Sun Conure,CKRG563,Male,Semi Adult,
Conure,New Aviary- L,L09,Sun Conure,CKRF012A,Female,Semi Adult,
Conure,New Aviary- L,L09,Sun Conure,CKRG091,Female,Semi Adult,
Conure,New Aviary- L,L09,Sun Conure,CKRG054,Female,Semi Adult,
Monk,New Aviary- L,L10,Blue Monk,CKRF053A,Male,Semi Adult,
Monk,New Aviary- L,L10,Blue Monk,CKRG070,Male,Semi Adult,
Monk,New Aviary- L,L10,Blue & Yellow Monk,CKRG024,Female,Semi Adult,
Monk,New Aviary- L,L10,Blue & Yellow Monk,CKRF054A,Male,Semi Adult,
Monk,New Aviary- L,L11,Green Monk,AS12E407,Male,Semi Adult,
Monk,New Aviary- L,L12,Blue Monk,GB227,Male,Semi Adult,
Monk,New Aviary- L,L13,Blue Monk,VV03E85,Male,Semi Adult,
Conure,New Aviary- L,L14,Crimson Bellied Conure,MONI140,NA,Semi Adult,
Conure,New Aviary- L,L14,Crimson Bellied Conure,NoRing 32,NA,Semi Adult,
Conure,New Aviary- L,L14,Crimson Bellied Conure,GB2511,Male,Semi Adult,
Conure,New Aviary- L,L15,Sun Conure,CKRG535,Female,Semi Adult,
Conure,New Aviary- L,L15,Janday Conure,CKRG578,NA,Semi Adult,
Conure,New Aviary- L,L15,Sun Conure,CKRG568,Female,Semi Adult,
Conure,New Aviary- L,L16,Sun Conure,CKRG530,Male,Semi Adult,
Conure,New Aviary- L,L16,Sun Conure,CKRG506,NA,Semi Adult,
Conure,New Aviary- L,L16,Sun Conure,CKRG527,Male,Semi Adult,
Conure,New Aviary- L,L16,Sun Conure,CKRG539,NA,Semi Adult,
Monk,New Aviary- L,L17,Green Monk,CKRG577,Female,Semi Adult,
Monk,New Aviary- L,L17,Blue Monk,CKRG066,Male,Semi Adult,
Monk,New Aviary- L,L17,Dilute Blue Monk,CKRF051A,Male,Semi Adult,
Monk,New Aviary- L,L17,Dilute Blue Monk,CKRG508,Female,Semi Adult,
Monk,New Aviary- L,L17,Dilute Blue Monk,CKRF095A,NA,Semi Adult,
Conure,New Aviary- L,L18,Crimson Bellied Conure,CKRG053,Female,Semi Adult,
Conure,New Aviary- L,L19,Sun Conure,CKRG536,NA,Semi Adult,
Conure,New Aviary- L,L19,Sun Conure,CKRG580,NA,Semi Adult,
Conure,New Aviary- L,L19,Sun Conure,CKRG035,NA,Semi Adult,
Conure,New Aviary- L,L19,Sun Conure,CKRG529,Female,Semi Adult,
Conure,New Aviary- L,L20,Sun Conure,CKRF069A,NA,Semi Adult,
Conure,New Aviary- L,L20,Sun Conure,CKRG521,NA,Semi Adult,
Conure,New Aviary- L,L20,Sun Conure,CKRG537,NA,Semi Adult,
Conure,New Aviary- L,L20,Sun Conure,CKRG078,NA,Semi Adult,
Conure,New Aviary- L,L23,Sun Conure,CKRE1619,Male,Semi Adult,
Conure,New Aviary- L,L29,Sun Conure,CKRG044,Male,Semi Adult,
Conure,New Aviary- L,L29,Sun Conure,CKRF058A,Female,Semi Adult,
Conure,New Aviary- L,L30,Sun Conure,CKRG515,Male,Semi Adult,
Conure,New Aviary- L,L30,Sun Conure,CKRG573,Male,Semi Adult,
Conure,New Aviary- L,L30,Sun Conure,CKRG572,Female,Semi Adult,
Conure,New Aviary- L,L30,Sun Conure,CKRG517,Male,Semi Adult,
Conure,New Aviary- L,L31,Sun Conure,CKRG533,Female,Semi Adult,
Conure,New Aviary- L,L31,Sun & Janday Conure,CKRG516,Female,Semi Adult,
Conure,New Aviary- L,L31,Sun Conure,CKRG502,Male,Semi Adult,
Conure,New Aviary- L,L31,Sun Conure,CKRG511,Female,Semi Adult,
Conure,New Aviary- L,L32,Sun & Janday Conure,CKRG585,Male,Semi Adult,
Conure,New Aviary- L,L32,Sun & Janday Conure,CKRG510,Male,Semi Adult,
Conure,New Aviary- L,L32,Sun Conure,CKRG531,Male,Semi Adult,
Conure,New Aviary- L,L32,Sun Conure,CKRG599,Male,Semi Adult,
Conure,New Aviary- L,L33,Sun Conure,CKRF283A,Female,Semi Adult,
Conure,New Aviary- L,L33,Sun Conure,CKRG600,Male,Semi Adult,
Conure,New Aviary- L,L33,Sun Conure,CKRG540,Male,Semi Adult,
Conure,New Aviary- L,L33,Sun Conure,CKRG518,Female,Semi Adult,
Conure,New Aviary- L,L34,Sun Conure,CKRG047,Female,Semi Adult,
Conure,New Aviary- L,L34,Sun & Janday Conure,CKRG570,Female,Semi Adult,
Conure,New Aviary- L,L34,Sun Conure,CKRG581,Female,Semi Adult,
Conure,New Aviary- L,L34,Sun Conure,CKRG569,Male,Semi Adult,
Conure,New Aviary- L,L35,Sun Conure,CKRF049A,Male,Semi Adult,
Conure,New Aviary- L,L35,Sun Conure,CKRG532,Female,Semi Adult,
Conure,New Aviary- L,L35,Sun Conure,CKRG551,Male,Semi Adult,
Conure,New Aviary- L,L35,Sun Conure,CKRG509,Female,Semi Adult,
Conure,New Aviary- L,L36,Sun Conure,CKRG519,Male,Semi Adult,
Conure,New Aviary- L,L36,Sun Conure,CKRG513,Female,Semi Adult,
Conure,New Aviary- L,L36,Sun Conure,CKRG562,Male,Semi Adult,
Conure,New Aviary- L,L36,Sun Conure,CKRG587,Male,Semi Adult,
Conure,New Aviary- L,L37,Sun Conure,CKRG574,Male,Semi Adult,
Conure,New Aviary- L,L37,Sun Conure,CKRG590,Male,Semi Adult,
Conure,New Aviary- L,L37,Sun Conure,CKRG561,Female,Semi Adult,
Conure,New Aviary- L,L37,Sun Conure,CKRG522,Male,Semi Adult,
Conure,New Aviary- L,L38,Sun Conure,CKRG514,Male,Semi Adult,
Conure,New Aviary- L,L38,Sun Conure,CKRF035A,Female,Semi Adult,
Conure,New Aviary- L,L38,Sun Conure,CKRG588,Male,Semi Adult,
Conure,New Aviary- L,L38,Sun Conure,CKRG556,Male,Semi Adult,
Conure,New Aviary- L,L39,Sun Conure,CKRG591,Male,Semi Adult,
Conure,New Aviary- L,L39,Sun Conure,CKRG566,Male,Semi Adult,
Conure,New Aviary- L,L39,Sun Conure,CKRG594,Female,Semi Adult,
Lorikeet,New Aviary- L,L40,Red Collared Lorikeet,CKRG541,Female,Semi Adult,
Lorikeet,New Aviary- L,L40,Swainson Lorikeet,CKRG2122,Male,Semi Adult,
Lorikeet,New Aviary- L,L40,Red Collared Lorikeet,CKRG543,Male,Semi Adult,
Lorikeet,New Aviary- L,L40,Red Collared Lorikeet,CKRG2140,Male,Semi Adult,
Lorikeet,New Aviary- L,L52,Swainson Lorikeet,CKRF477,Male,Semi Adult,
Lorikeet,New Aviary- L,L54,Swainson Lorikeet,CKRD614,Female,Semi Adult,
Lorikeet,New Aviary- L,L55,Violet Necked Lory,VPW10,Female,Semi Adult,
Lorikeet,New Aviary- L,L55,Violet Necked Lory,CKRD503,Female,Semi Adult,
Lorikeet,New Aviary- L,L56,Olive Swainson Lorikeet,CKRF012,Male,Semi Adult,
Lorikeet,New Aviary- L,L57,Swainson Lorikeet,CKRF352,Male,Semi Adult,
Lory,New Aviary- L,L58,Chattering Lory,MAR068,Male,Semi Adult,
Lory,New Aviary- L,L59,Chattering Lory,GVR05,Female,Semi Adult,
Lory,New Aviary- L,L59,Chattering Lory,GVR06,Female,Semi Adult,
Lory,New Aviary- L,L61,Black Capped Lory,CKRF491,Female,Semi Adult,
Lory,New Aviary- L,L62,Black Capped Lory,M040,Female,Semi Adult,
Lory,New Aviary- M,M01,Red Lory,CKRF583,Female,Semi Adult,
Lory,New Aviary- M,M01,Red Lory,CKRE2214,Female,Semi Adult,
Lory,New Aviary- M,M02,Red Lory,CKRF363,Female,Semi Adult,
Lory,New Aviary- M,M02,Red Lory,CKRF365,Female,Semi Adult,
Lory,New Aviary- M,M03,Red Lory,CKRF592,Male,Semi Adult,
Lory,New Aviary- M,M03,Red Lory,CKRF409,Male,Semi Adult,
Lory,New Aviary- M,M04,Black Capped Lory,M054,Female,Semi Adult,
Lory,New Aviary- M,M05,Red Lory,CKRE2210,Female,Semi Adult,
Lorikeet,New Aviary- M,M06,Green Napped Lorikeet,CKRG524,Male,Semi Adult,
Lory,New Aviary- M,M06,Red Lory,CKRG2107,Male,Semi Adult,
Lorikeet,New Aviary- M,M06,Swainson Lorikeet,CKRG528,Female,Semi Adult,
Lorikeet,New Aviary- M,M07,Violet Necked Lory,CKRE1179,Male,Semi Adult,
Lory,New Aviary- M,M08,Red Lory,PABW375,Female,Semi Adult,
Lory,New Aviary- M,M09,Red Lory,CKRF066,Male,Semi Adult,
Lory,New Aviary- M,M09,Red Lory,CKRF069,Male,Semi Adult,
Lory,New Aviary- M,M10,Chattering Lory,JP514,Female,Semi Adult,
Lory,New Aviary- M,M11,Chattering Lory,CKRC392,Female,Semi Adult,
Lory,New Aviary- M,M12,Chattering Lory,MCR086,Female,Semi Adult,
Lory,New Aviary- M,M13,Black Capped Lory,Sunil610,Male,Semi Adult,
