Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Bird status
Parrot,Aruvi,A01,Timney Gray Parrot,GF0487,,Proven,Hold
Parrot,Aruvi,A01,Timney Gray Parrot,GF0485,,Proven,Hold
Parrot,Aruvi,A02,Timney Gray Parrot,CKR13,Female,Proven,Hold
Parrot,Aruvi,A02,Timney Gray Parrot,13,Male,Proven,Hold
Parrot,Aruvi,A03,Gray parrot,SV0019,Male,Proven,Hold
Parrot,Aruvi,A03,Gray parrot,VPW287,Female,Proven,Hold
Parrot,Aruvi,A04,Gray parrot,SG279,Female,Proven,Hold
Parrot,Aruvi,A04,Gray parrot,SG270,Male,Proven,Hold
Parrot,Aruvi,A05,Gray parrot,SG263,Female,Proven,Hold
Parrot,Aruvi,A05,Gray parrot,SG273,Male,Proven,Hold
Parrot,Aruvi,A06,Gray parrot,SG282,Female,Proven,Hold
Parrot,Aruvi,A06,Gray parrot,SG382,Male,Proven,Hold
Parrot,Aruvi,A07,Gray parrot,SG255,Male,Non proven,Hold
Parrot,Aruvi,A07,Gray parrot,SG288,Female,Non proven,Hold
Parrot,Aruvi,A08,Gray parrot,VPW220,Female,Proven,Hold
Parrot,Aruvi,A08,Gray parrot,SG384,Male,Proven,Hold
Parrot,Aruvi,A09,Gray parrot,SV0010,Female,Proven,Hold
Parrot,Aruvi,A09,Gray parrot,CKR0001C,Male,Proven,Hold
Parrot,Aruvi,A10,Gray parrot,VPW274,Female,Proven,Hold
Parrot,Aruvi,A10,Gray parrot,VPW288,Male,Proven,Hold
Parrot,Aruvi,A11,Gray parrot,CKR0038,Female,Proven,Hold
Parrot,Aruvi,A11,Gray parrot,JFS46,Male,Proven,Hold
Parrot,Aruvi,A12,Gray parrot,CKR0011,Male,Proven,Hold
Parrot,Aruvi,A12,Gray parrot,VPW293,Female,Proven,Hold
Cockatoo,Aruvi,A17,Galah Cockatoo,JOC8512,Female,Proven,Hold
Cockatoo,Aruvi,A17,Major Mitchell's Cockatoo,CKR0042,Male,Proven,Hold
Cockatoo,Aruvi,A18,Galah Cockatoo,253T30906004,Male,Proven,Hold
Cockatoo,Aruvi,A18,Galah Cockatoo,CR06K11,Female,Proven,Hold
Amazon,Aruvi,A19,Cuban Amazon,AG1023,Female,Proven,Hold
Amazon,Aruvi,A19,Cuban Amazon,BNAAZ403436901195D,Male,Proven,Hold
Amazon,Aruvi,A20,Red Lored Amazon,14AV,Female,Non proven,Hold
Amazon,Aruvi,A20,Red Lored Amazon,16RBE33,Male,Non proven,Hold
Amazon,Aruvi,A21,Double Yellow Headed Amazon,GFCL298,,Proven,Hold
Amazon,Aruvi,A21,Double Yellow Headed Amazon,GFCL291,,Proven,Hold
Amazon,Aruvi,A22,Red Lored Amazon,036B1,Male,Non proven,Hold
Amazon,Aruvi,A22,Red Lored Amazon,170PV12,Female,Non proven,Hold
Amazon,Aruvi,A23,Blue Fronted Amazon,10WA15,Male,Proven,Hold
Amazon,Aruvi,A23,Blue Fronted Amazon,LDFC853/016,Female,Proven,Hold
Amazon,Aruvi,A24,Blue Fronted Amazon,Pavw199,female,Proven,Hold
Amazon,Aruvi,A24,Blue Fronted Amazon,10WA17,Male,Proven,Hold
Parrot,Aruvi,A25,Jardin,GSH03,Female,Proven,Hold
Parrot,Aruvi,A25,Jardin,101,Male,Proven,Hold
Lorikeet,Garden,B01,Green Napped Lorikeet,YUV295,Male,Adult,Hold
Lorikeet,Garden,B02,Olive Swainson Lorikeet,CKRB205,Female,Adult,Hold
Lorikeet,Garden,B03,Red Collared Lorikeet,CKRF386,,Semi adult,Hold
Lorikeet,Garden,B03,Red Collared Lorikeet,CKRE1224,,Semi adult,Hold
Lorikeet,Garden,B04,Red Collared Lorikeet,CKRD059,,Semi adult,Hold
Lorikeet,Garden,B04,Swainson Lorikeet,CKRD674,,Semi adult,Hold
Lory ,Garden,B05,Redlory,CKRD626,,Semi adult,Hold
Lory ,Garden,B06,Black Capped Lory,CKRD1627,,Semi adult,Hold
Lory ,Garden,B06,Black Capped Lory,CKRD1591,,Semi adult,Hold
Lory ,Garden,B07,Black Capped Lory,CKRD693,,Semi adult,Hold
Lory ,Garden,B08,Yellow bibbed Lory,CKRD1619,,Semi adult,Hold
Lory ,Garden,B09,Redlory,CKRD1607,,Semi adult,Hold
Lory ,Garden,B10,Redlory,CKRD1548,,Semi adult,Hold
Lory ,Garden,B12,Redlory,CKRE1591,,Semi adult,Hold
Lory ,Garden,B12,Redlory,CKRE1978,,Semi adult,Hold
Lory ,Garden,B13,Redlory,CKRD625,,Semi adult,Hold
Lory ,Garden,B13,Redlory,CKRE1636,,Semi adult,Hold
Lory ,Garden,B14,Redlory,CKRD1527,,Semi adult,Hold
Lory ,Garden,B15,Redlory,CKRE1563,,Semi adult,Hold
Lorikeet,Garden,B16,Olive Red collar Lorikeet,BL055,,Semi adult,Hold
Lorikeet,Garden,B16,Olive Swainson Lorikeet,CKRF428,,Semi adult,Hold
Lorikeet,Garden,B17,Red Collared Lorikeet,CKRE1917,,Semi adult,Hold
Lorikeet,Garden,B17,Red Collared Lorikeet,CKRE1272,,Semi adult,Hold
Lorikeet,Garden,B18,Swainson Lorikeet,CKRD667,,Semi adult,Hold
Lorikeet,Garden,B19,Swainson Lorikeet,CKRE1216,,Semi adult,Hold
Lorikeet,Garden,B19,Swainson Lorikeet,CKRD1408,,Semi adult,Hold
Lory ,Garden,B20,Chattering Lory,CKRC400,,Semi adult,Hold
Lorikeet,Garden,B21,Swainson Lorikeet,CKRE1406,,Semi adult,Hold
Lorikeet,Garden,B21,Swainson Lorikeet,CKRE1255,,Semi adult,Hold
Lorikeet,Garden,B22,Olive Swainson Lorikeet,CKRE1926,,Semi adult,Hold
Cockatoo,Garden,C01,Triton Cockatoo,GFC069,Vikram bird,Adult,Hold
Conure,Garden,C02,Golden Conure,LHF331,Female,Adult,Hold
Conure,Garden,C03,Sun Conure,CKRE1286,,Semi adult,Hold
Conure,Garden,C04,Sun Conure,CKRE1571,,Semi adult,Hold
Conure,Garden,C05,Sun Conure,CKRF117,,Semi adult,Hold
