Brooder Name,Target no of Feeds
Avi Care  Brooder- 1,16
Avi Care  Brooder- 2,
Avi Care  Brooder- 3,
Avi Care  Brooder- 4,
Avi Care  Brooder- 5,
Avi Care  Brooder- 6,
Avi Care  Brooder- 7,
Avi Care  Brooder- 8,
Avi Care  Brooder- 11,
Avi Care  Brooder- 12,
Lory Brooder -1 ,
Lory Brooder -2 ,
Lory Brooder -3 ,
Avi Care  Brooder- 9,
Avi Care  Brooder- 10,
Avi Care  Brooder- 13,
Avi Care  Brooder- 14,
Avi Care  Brooder- 15,
Poultry Brooder  - 1,
Poultry Brooder  - 2,
Poultry Brooder  - 3,
Poultry Brooder  - 4,
Poultry Brooder  - 5,
Poultry Brooder  - 6,
Poultry Brooder  - 7,
