Aviary,Group,Species,Section,Material,Target,Actual Type
Weaning,Lory,Yellow Bibbed Lory,Afternoon,Egg- Parrot Aruvi,4L,Daily twice
Weaning,Lory,Red Lory,Afternoon,Egg- macaw Thendral & solai,10,Daily twice
Weaning,Lorikeet,Red collar lory (Olive),Afternoon,Papaya - 2kg,300ml,Daily once
Weaning,Lorikeet,Swainson's Lorikeet,Afternoon,Guava- 2kg,300ml,Daily twice
Weaning,Lorikeet,Green Napped Lorikeet,Afternoon,Rice,4L,Daily twice
Vasantham,Cockatoo,Umbrella Cockatoo,Afternoon,Tor Dal,9,Daily twice
Vasantham,Cockatoo,Triton Cockatoo,Afternoon,Green Gram,300ml,Daily twice
Vasantham,Cockatoo,Mollucan Cockatoo,Afternoon,Black Channa,300ml,Daily twice
Vasantham,Cockatoo,Medium Sulphur Cockatoo,Afternoon,White Channa,4L,Daily twice
Vasantham,Cockatoo,Goffin Cockatoo,Afternoon,Water quantity for boiling,8,Daily once
Vasantham,Cockatoo,Major Mitchell's Cockatoo,Afternoon,Egg- Parrot Aruvi,300ml,Weekly once
Thenral,Macaw,Scarlet Macaw,Afternoon,Egg- macaw Thendral & solai,300ml,Weekly once
Thenral,Macaw,Green Wing Macaw,Afternoon,Papaya - 2kg,4L,Weekly once
Thenral,Macaw,Blue and Gold Macaw,Afternoon,Guava- 2kg,7,Weekly once
Solai,Macaw,Scarlet Macaw,Afternoon,Rice,300ml,Daily twice
Solai,Macaw,Green Wing Macaw,Afternoon,Tor Dal,300ml,Daily twice
Solai,Macaw,Blue and Gold Macaw,Afternoon,Green Gram,4L,Daily once
Solai,Cockatoo,Mollucan Cockatoo,Afternoon,Black Channa,6,Daily twice
Solai,Cockatoo,Medium Sulphur Cockatoo,Afternoon,White Channa,300ml,Daily twice
Solai,Cockatoo,Major Mitchells Cockatoo,Afternoon,Water quantity for mixing,300ml,Daily twice
Lory cage,Lory,Yellow Bibbed Lory,Afternoon,Water quantity for boiling,4L,Daily twice
Lory cage,Lory,Red Lory,Afternoon,Sunflower seeds (Kg),5,Daily twice
Lory cage,Lory,Chattering Lory,Afternoon,Water quantity for mixing,300ml,Daily twice
Lory cage,Lory,Black capped Lory,Afternoon,Water quantity for boiling,4L,Daily once
Lory cage,Lorikeet,Red collar lory (Olive),Afternoon,Egg- Parrot Aruvi,0.125,Weekly once
Lory cage,Lorikeet,Swainson's Lorikeet (Olive),Afternoon,Egg- macaw Thendral & solai,0.075,Weekly once
Lory cage,Lorikeet,Swainson's Lorikeet,Afternoon,Papaya - 2kg,,Weekly once
Lory cage,Lorikeet,Red Collared Lorikeet,Afternoon,Guava- 2kg,4,Weekly once
Lory cage,Lorikeet,Green Napped Lorikeet,Afternoon,Rice,0.25,Daily twice
Lory cage,Conure,Janday conure,Afternoon,Tor Dal,0.1,Daily twice
Lory cage,Conure,Crimson bellied conure,Afternoon,Green Gram,0.25,Daily once
Lory cage,Amazon,Cuban Amazon,Afternoon,Black Channa,0.2,Daily twice
Garden,Lory,Yellow Bibbed Lory,Afternoon,White Channa,0.35,Daily twice
Garden,Lory,Red Lory,Afternoon,Water quantity for mixing,2L,Daily twice
Garden,Lorikeet,Swainson's Lorikeet (Olive),Afternoon,Water quantity for boiling,4L,Daily twice
Garden,Lorikeet,Swainson's Lorikeet,Afternoon,Oats,0.2,Daily twice
Garden,Lorikeet,Scaly Breasted Lorikeet,Afternoon,Beetroot (Kg) - 1kg,,Daily twice
Garden,Lorikeet,Red Collared Lorikeet,Afternoon,Carrot (Kg) - 1kg,,Daily once
Garden,Lorikeet,Green Napped Lorikeet,Afternoon,Papaya (Kg) - 1.5kg,,Weekly once
Garden,Conure,Sun Conure,Afternoon,Guava (Kg) - 1.5kg,4.5,Weekly once
Garden,Conure,Janday conure,Afternoon,Tor Dal,0.05,Weekly once
Crown pigeon cage,Amazon,Cuban Amazon,Afternoon,Green Gram,0.2,Weekly once
Sales,Lorikeet,Swainson's Lorikeet,Afternoon,Black Channa,0.15,Daily twice
Sales,Lorikeet,Red Collared Lorikeet,Afternoon,White Channa,0.3,Daily twice
Sales,Conure,Nansun Conure,Afternoon,Water quantity for mixing (L),2L,Daily once
Sales,Cockatoo,Triton Cockatoo,Afternoon,Water quantity for boiling (L),4L,Daily twice
Sales,Amazon,Red Lored Amazon,Afternoon,Egg- Garden cage,0.3,Daily twice
Aruvi,Parrot,Jardin,Afternoon,Oats (Kg),0.2,Daily twice
Aruvi,Parrot,Grey Parrot,Afternoon,Beetroot (Kg) - 750kg,,Daily twice
Aruvi,Parrot,Timney Grey Parrot,Afternoon,Carrot (Kg) - 750g,,Daily twice
Aruvi,Cockatoo,Major Mitchell's Cockatoo,Afternoon,Papaya (Kg) - 1kg,,Daily twice
Aruvi,Amazon,Red Lory,Afternoon,Guava (Kg) - 1kg,3.5,Daily once
Aruvi,Amazon,Red Lored Amazon,Afternoon,Tor Dal  (g),0.05,Weekly once
Aruvi,Amazon,Double Yellow Headed Amazon,Afternoon,Green Gram  (g),0.2,Weekly once
Aruvi,Amazon,Cuban Amazon,Afternoon,Black Channa  (g),0.1,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Afternoon,White Channa (g),0.25,Weekly once
WENING,Lory,Yellow Bibbed Lory,Morning,Egg- Parrot Aruvi,4L,Daily twice
WENING,Lory,Red Lory,Morning,Egg- macaw Thendral & solai,10,Daily twice
WENING,Lorikeet,Red collar lory (Olive),Morning,Papaya - 2kg,300ml,Daily once
WENING,Lorikeet,Swainson's Lorikeet,Morning,Guava- 2kg,300ml,Daily twice
WENING,Lorikeet,Green Napped Lorikeet,Morning,Rice,4L,Daily twice
Vasantham,Cockatoo,Umbrella Cockatoo,Morning,Tor Dal,9,Daily twice
Vasantham,Cockatoo,Triton Cockatoo,Morning,Green Gram,300ml,Daily twice
Vasantham,Cockatoo,Mollucan Cockatoo,Morning,Black Channa,300ml,Daily twice
Vasantham,Cockatoo,Medium Sulphur Cockatoo,Morning,White Channa,4L,Daily twice
Vasantham,Cockatoo,Goffin Cockatoo,Morning,Water quantity for boiling,8,Daily once
Vasantham,Cockatoo,Major Mitchell's Cockatoo,Morning,Egg- Parrot Aruvi,300ml,Weekly once
Thenral,Macaw,Scarlet Macaw,Morning,Egg- macaw Thendral & solai,300ml,Weekly once
Thenral,Macaw,Green Wing Macaw,Morning,Papaya - 2kg,4L,Weekly once
Thenral,Macaw,Blue and Gold Macaw,Morning,Guava- 2kg,7,Weekly once
Solai,Macaw,Scarlet Macaw,Morning,Rice,300ml,Daily twice
Solai,Macaw,Green Wing Macaw,Morning,Tor Dal,300ml,Daily twice
Solai,Macaw,Blue and Gold Macaw,Morning,Green Gram,4L,Daily once
Solai,Cockatoo,Mollucan Cockatoo,Morning,Black Channa,6,Daily twice
Solai,Cockatoo,Medium Sulphur Cockatoo,Morning,White Channa,300ml,Daily twice
Solai,Cockatoo,Major Mitchells Cockatoo,Morning,Water quantity for mixing,300ml,Daily twice
