Aviary Name,Cage,Diet pattern,Target mrng Feed,Target Aft Feed
Aruvi,Co1,Semi adult diet,45,56
Garden,,,,
Guest house,,,,
Solai,,,,
Thendral,,,,
Vasantham,,,,
Sales ,,,,
Sun Conure,,,,
Cockatoo,,,,
Lory,,,,
Macaw,,,,
School,,,,
Aruvi,,,,
Garden,,,,
Guest house,,,,
Solai,,,,
Thendral,,,,
Vasantham,,,,
Sales ,,,,
Sun Conure,,,,
Cockatoo,,,,
Lory,,,,
Macaw,,,,
School,,,,
Aruvi,,,,
Garden,,,,
Guest house,,,,
Solai,,,,
Thendral,,,,
Vasantham,,,,
Sales ,,,,
Aruvi,,,,
Vasantham,,,,
Thendral,,,,
Solai,,,,
Sales,,,,
Garden,,,,
