Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Date of brooder 36,Date of brooder 35,Date of brooder 34,Date of brooder 33,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Conure,Sun Conure,B26,Sun Conure,GB2892,GB2932,6513,02-04-2022,Fertile,09-04-2022,21-04-2022,29-04-2022,,,,7.8,19-04-2022,6.01,21-04-2022,0.92,Assist,0.3,,
Conure,Sun Conure,B26,Sun Conure,GB2892,GB2932,6514,02-04-2022,Fertile,09-04-2022,25-04-2022,02-05-2022,,,,7.49,23-04-2022,5.8,25-04-2022,0.55,Assist,0.3,,
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6515,02-04-2022,Fertile,09-04-2022,22-04-2022,30-04-2022,,,,6.46,21-04-2022,5.27,22-04-2022,0.61,Normal,0.3,,
Conure,Sun Conure,B33,Janday Conure,CKR53,CKRB136,6517,02-04-2022,Fertile,09-04-2022,22-04-2022,30-04-2022,,,,7.21,21-04-2022,5.92,22-04-2022,0.74,Normal,0.3,,
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6520,02-04-2022,Fertile,09-04-2022,25-04-2022,03-05-2022,,,,5.26,23-04-2022,3.93,25-04-2022,0.46,Assist,0.2,,
Lory,Lory,D40,Red Lory ,ABW3899,ABW5146,6531,02-04-2022,Fertile,09-04-2022,29-04-2022,,,,,6.96,26-04-2022,6.65,29-04-2022,0.42,Normal,0.2,,
Lory,Lory,E39,Red Lory ,YUV40,PABW324,6532,02-04-2022,Fertile,09-04-2022,24-04-2022,02-05-2022,,,,8.03,23-04-2022,6.29,24-04-2022,0.62,Normal,0.3,,
Lory,Lory,E39,Red Lory ,YUV40,PABW324,6533,02-04-2022,Fertile,09-04-2022,27-04-2022,05-05-2022,,,,8.13,25-04-2022,6.26,27-04-2022,,Normal,,,
Lorikeet,Lory,D39,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6534,02-04-2022,Fertile,09-04-2022,25-04-2022,03-05-2022,,,,8.06,23-04-2022,6.08,25-04-2022,0.6,Normal,0.2,,
Lorikeet,Lory,E36,Olive Swainson Lorikeet,CKRD1476,CKRB114,6535,02-04-2022,Fertile,09-04-2022,23-04-2022,01-05-2022,,,,6.2,21-04-2022,5.04,23-04-2022,0.54,Normal,0.2,,
Lorikeet,Lory,E28,Swainson Lorikeet,CKR364,CKRB107,6537,02-04-2022,Fertile,09-04-2022,25-04-2022,03-05-2022,,,,7.87,23-04-2022,6.06,25-04-2022,0.76,Normal,0.2,,
Lorikeet,Lory,D24,Olive Swainson Lorikeet,CKRB215,TSNZ80,6539,02-04-2022,Fertile,09-04-2022,23-04-2022,01-05-2022,,,,6.47,21-04-2022,5.3,23-04-2022,0.56,Normal,0.2,,
