Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Conure,Sun Conure,A5,Sun Conure,CKRC332,CKRD282,5737,04-01-2022,Fertile,11.01.2022,,7.69,,6,24-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,A5,Sun Conure,CKRC332,CKRD282,5738,04-01-2022,Infertile,,,,,,,,,,,
Conure,Sun Conure,B7,Sun Conure,GB3096,CKRB131,5739,04-01-2022,Fertile,11.01.2022,,6.04,,4.88,27-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,A8,Sun Conure,GB2915,GB2805,5740,04-01-2022,Fertile,11.01.2022,,7.64,,5.71,28-01-2022,,NORMAL,,,
Conure,Sun Conure,A9,Sun Conure,MVR504,CKR07,5741,04-01-2022,Infertile,,,,,,,,,,,
Conure,Sun Conure,B14,Sun Conure,GB2780,GB2698,5742,04-01-2022,Fertile,11.01.2022,,,,,,,,,MID,16-01-2022
Conure,Sun Conure,A16,Sun Conure,GB2855,GB3023,5743,04-01-2022,Fertile,11.01.2022,,6.62,,5.28,26-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,A18,Sun Conure,GB3198,GB3174,5744,04-01-2022,Fertile,11.01.2022,,5.18,,3.73,26-01-2022,,NORMAL,0.1,,
Conure,Sun Conure,B18,Sun Conure,NAGU14,GB2767,5745,04-01-2022,Fertile,11.01.2022,,7,,4.87,29-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,B20,Sun Conure,CKRB154,GB2815,5746,04-01-2022,Fertile,11.01.2022,,7.2,,5.21,27-01-2022,,NORMAL,,,
Conure,Sun Conure,B23,Sun Conure,GB2776,GB2735,5747,04-01-2022,Fertile,11.01.2022,,7.1,,5.6,24-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,B23,Sun Conure,GB2776,GB2735,5748,04-01-2022,Fertile,11.01.2022,,6.72,,4.83,28-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,B27,Sun Conure,CKRB184,GB2730,5749,04-01-2022,Fertile,11.01.2022,,6.06,,4.4,28-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,A28,Sun Conure,GB3165,GB2996,5750,04-01-2022,Fertile,11.01.2022,,8.76,,5.94,24-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,A28,Sun Conure,GB3165,GB2996,5751,04-01-2022,Fertile,11.01.2022,,8.53,,6.46,28-01-2022,,NORMAL,0.1,,
Conure,Sun Conure,B31,Sun Conure,CKR279,CKRA442,5752,04-01-2022,Fertile,11.01.2022,,7.33,,5.51,29-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,B31,Sun Conure,CKR279,CKRA442,5753,04-01-2022,Fertile,11.01.2022,,7.18,,5.5,27-01-2022,,NORMAL,0.2,,
Conure,Sun Conure,B36,Sun Conure,GB2937,GB2939,5754,04-01-2022,Fertile,,,,,,,,,,EARLY,11.01.2022
Conure,Sun Conure,A40,Sun Conure,GB3189,VRS66,5755,04-01-2022,Infertile,,,,,,,,,,,
