Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Conure,Sun conure,B30,Sun conure,GB2702,GB2823,5778,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,B23,Sun conure,GB2735,GB2776,5718,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B9,Sun conure,GD2883,GD2720,2501,27-12-2021,Fertile,03-01-2022,,4.17,17-01-2022,5.73,19-01-2022,0.62,Normal Hatch,0.2,,
Conure,Garden,B8,Sun conure,GD2692,GD3183,2506,27-12-2021,Fertile,03-01-2022,,,,,,,,,Late,14-01-2022
Conure,Sun conure,A42,Sun conure,GB2895,GB2649,5684,27-12-2021,Fertile,03-01-2022,,,,,,,,,,
Conure,Sun conure,B26,Sun conure,GB2892,GB2932,5680,27-12-2021,Fertile,03-01-2022,,7.23,16-01-2022,5.33,18-01-2022,0.46,Assist Hatch,0.2,,
Conure,Sun conure,B6,Sun conure,GB3059,CPC143,5666,27-12-2021,Fertile,03-01-2022,,6.84,19-01-2022,508,20-01-2022,0.71,Normal Hatch,0.2,,
Conure,Sun conure,B14,Sun conure,GB2698,GB2780,5674,27-12-2021,Fertile,03-01-2022,,6.91,17-01-2022,5.52,18-01-2022,0.83,Normal Hatch,0.2,,
Conure,Sun conure,B29,Sun conure,GB2807,GB2700,5722,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,B42,Sun conure,CKRD320,CKRD1381,5726,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,B12,Sun & Jandaya,GB2701,GB3332,5672,27-12-2021,Fertile,03-01-2022,,,,,,,,,Late,18-01-2022
Conure,Sun conure,B13,Sun conure,GB2810,GB3097,5673,27-12-2021,Fertile,03-01-2022,,7.34,16-01-2022,6,19-01-2022,0.76,Normal Hatch,0.2,,
Conure,Sun conure,A5,Sun conure,CKRD282,CKRC332,5704,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,A29,Sun conure,GB2873,GB2778,5723,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B7,Sun conure,Ckr190,ckr2788,2496,27-12-2021,Fertile,03-01-2022,,8.05,16-01-2022,5.89,18-01-2022,0.6,Normal Hatch,0.2,,
Conure,Sun conure,A29,Sun conure,GB2873,GB2778,5681,27-12-2021,Fertile,03-01-2022,,7.24,18-01-2022,5.87,19-01-2022,0.66,Normal Hatch,0.2,,
Conure,Sun conure,B17,Sun conure,GB2891,GB2718,5713,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B4,Sun conure,GB2799,GB2868,2498,27-12-2021,Fertile,03-01-2022,,8.05,17-01-2022,6.36,20-01-2022,0.78,Normal Hatch,0.1,,
Conure,Sun conure,A18,Sun conure,GB3174,GB3198,5675,27-12-2021,Fertile,03-01-2022,,,,,,,,,,
Lory,Lory,D42,Red collard lory,CKRC281,CKRC288,5838,10-01-2022,Infertile,,,,,,,,,,,
Conure,Garden,B12,Sun conure,GB3022,GB 2791,2505,27-12-2021,Fertile,03-01-2022,,8.45,16-01-2022,6.48,17-01-2022,0.86,Normal Hatch,0.2,,
