Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight,,,,,,,
Conure,Sun Conure,B03,02-04-2022,Sun Conure,GB3167,GB2871,6512,DIS,09-04-2022,,,,,,,,Late,23-04-2022,8.4,,,,,,,,
Conure,Sun Conure,B26,02-04-2022,Sun Conure,GB2892,GB2932,6513,Fertile,09-04-2022,,7.8,19-04-2022,6.01,21-04-2022,0.92,Assist,,,8.49,,,,,,,,
Conure,Sun Conure,B26,02-04-2022,Sun Conure,GB2892,GB2932,6514,Fertile,09-04-2022,,7.49,23-04-2022,5.8,25-04-2022,0.55,Assist,,,8.85,,,,,,,,
Conure,Sun Conure,B03,02-04-2022,Sun Conure,GB3167,GB2871,6515,Fertile,09-04-2022,,6.46,21-04-2022,5.27,22-04-2022,0.61,Normal,,,7.52,,,,,,,,
Conure,Sun Conure,B33,02-04-2022,Janday Conure,CKR53,CKRB136,6516,DIS,09-04-2022,,,,,,,,Late,15-04-2022,7.99,,,,,,,,
Conure,Sun Conure,B33,02-04-2022,Janday Conure,CKR53,CKRB136,6517,Fertile,09-04-2022,,7.21,21-04-2022,5.92,22-04-2022,0.74,Normal,,,8.91,,,,,,,,
Conure,Sun Conure,A35,02-04-2022,Sun Conure,CKRD843,CKRC324,6518,DIS,09-04-2022,,,,,,,,Late,23-04-2022,6.03,,,,,,,,
Conure,Sun Conure,A41,02-04-2022,Sun Conure,GB2719,GB2955,6519,Infertile,,,,,,,,,,,4.79,,,,,,,,
Conure,Sun Conure,A41,02-04-2022,Sun Conure,GB2719,GB2955,6520,Fertile,09-04-2022,,5.26,23-04-2022,3.93,25-04-2022,0.46,Assist,,,6.48,,,,,,,,
Conure,Lory,K08,02-04-2022,Sun Conure,CKRE1706,CKRE1139,6521,DIS,09-04-2022,,,,,,,,Late,21-04-2022,8.24,,,,,,,,
Lorikeet,Lory,G28,02-04-2022,Olive Swainson Lorikeet,CKRD509,,6522,Infertile,,,,,,,,,,,5.72,,,,,,,,
Lorikeet,Lory,G28,02-04-2022,Olive Swainson Lorikeet,CKRD509,,6523,Infertile,,,,,,,,,,,5.75,,,,,,,,
Lorikeet,Lory,F37,02-04-2022,Olive Swainson Lorikeet,CKRD1421,7000,6524,Infertile,,,,,,,,,,,6.52,,,,,,,,
Lorikeet,Lory,F45,02-04-2022,Olive Swainson Lorikeet,7L6678,T0660192,6525,Infertile,,,,,,,,,,,6.59,,,,,,,,
Lorikeet,Lory,F45,02-04-2022,Olive Swainson Lorikeet,7L6678,T0660192,6526,Infertile,,,,,,,,,,,6.58,,,,,,,,
Lorikeet,Lory,E42,02-04-2022,Swainson Lorikeet,CKRA438,CKRA435,6527,Infertile,,,,,,,,,,,7.72,,,,,,,,
Lorikeet,Lory,D41,02-04-2022,Swainson Lorikeet,CKRD1481,CKRD1562,6528,Infertile,,,,,,,,,,,7.57,,,,,,,,
Lorikeet,Lory,D41,02-04-2022,Swainson Lorikeet,CKRD1481,CKRD1562,6529,Infertile,,,,,,,,,,,8.03,,,,,,,,
Lory,Lory,D40,02-04-2022,Red Lory ,ABW3899,ABW5146,6530,DIS,09-04-2022,,9.85,23-04-2022,,,,,Late,25-04-2022,10.15,,,,,,,,
Lory,Lory,D40,02-04-2022,Red Lory ,ABW3899,ABW5146,6531,Fertile,09-04-2022,,6.96,26-04-2022,6.65,29-04-2022,0.42,Normal,,,9.39,,,,,,,,
Lory,Lory,E39,02-04-2022,Red Lory ,YUV40,PABW324,6532,Fertile,09-04-2022,,8.03,23-04-2022,6.29,24-04-2022,0.62,Normal,,,8.92,,,,,,,,
Lory,Lory,E39,02-04-2022,Red Lory ,YUV40,PABW324,6533,Fertile,09-04-2022,,8.13,25-04-2022,6.26,27-04-2022,,Normal,,,9.18,,,,,,,,
Lorikeet,Lory,D39,02-04-2022,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6534,Fertile,09-04-2022,,8.06,23-04-2022,6.08,25-04-2022,0.6,Normal,,,8.72,,,,,,,,
Lorikeet,Lory,E36,02-04-2022,Olive Swainson Lorikeet,CKRD1476,CKRB114,6535,Fertile,09-04-2022,,6.2,21-04-2022,5.04,23-04-2022,0.54,Normal,,,7,,,,,,,,
