Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Conure,Sun Conure,B03,Sun & Janday Conure,GB3167,GB2871,6512,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.4
Conure,Sun Conure,B26,Sun & Janday Conure,GB2892,GB2932,6513,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.49
Conure,Sun Conure,B26,Sun & Janday Conure,GB2892,GB2932,6514,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.85
Conure,Sun Conure,B03,Sun & Janday Conure,GB3167,GB2871,6515,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,7.52
Conure,Sun Conure,B33,Sun & Janday Conure,CKR53,CKRB136,6516,02-04-2022,Fertile,09-04-2022,,,,,,,,,Late,15-04-2022,7.99
Conure,Sun Conure,B33,Sun & Janday Conure,CKR53,CKRB136,6517,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.91
Conure,Sun Conure,A35,Sun & Janday Conure,CKRD843,CKRC324,6518,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,6.03
Conure,Sun Conure,A41,Sun & Janday Conure,GB2719,GB2955,6519,02-04-2022,Infertile,,,,,,,,,,,,4.79
Conure,Sun Conure,A41,Sun & Janday Conure,GB2719,GB2955,6520,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,6.48
Conure,Lory,K08,Sun & Janday Conure,CKRE1706,CKRE1139,6521,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.24
Lory ,Lory,G28,Sun & Janday Conure,CKRD509,,6522,02-04-2022,Infertile,,,,,,,,,,,,5.72
Lory ,Lory,G28,Sun & Janday Conure,CKRD509,,6523,02-04-2022,Infertile,,,,,,,,,,,,5.75
Lory ,Lory,F37,Sun & Janday Conure,CKRD1421,7000,6524,02-04-2022,Infertile,,,,,,,,,,,,6.52
Lory ,Lory,F45,Sun & Janday Conure,7L6678,T0660192,6525,02-04-2022,Infertile,,,,,,,,,,,,6.59
Lory ,Lory,F45,Sun & Janday Conure,7L6678,T0660192,6526,02-04-2022,Infertile,,,,,,,,,,,,6.58
Lory ,Lory,E42,Sun & Janday Conure,CKRA438,CKRA435,6527,02-04-2022,Infertile,,,,,,,,,,,,7.72
Lory ,Lory,D41,Sun & Janday Conure,CKRD1481,CKRD1562,6528,02-04-2022,Infertile,,,,,,,,,,,,7.57
Lory ,Lory,D41,Sun & Janday Conure,CKRD1481,CKRD1562,6529,02-04-2022,Infertile,,,,,,,,,,,,8.03
Lory ,Lory,D40,Sun & Janday Conure,ABW3899,ABW5146,6530,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,10.15
Lory ,Lory,D40,Sun & Janday Conure,ABW3899,ABW5146,6531,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,9.39
Lory ,Lory,E39,Sun & Janday Conure,YUV40,PABW324,6532,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.92
Lory ,Lory,E39,Sun & Janday Conure,YUV40,PABW324,6533,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,9.18
Lory ,Lory,D39,Sun & Janday Conure,CKR228,CKR378,6534,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.72
Lory ,Lory,E36,Sun & Janday Conure,CKRD1476,CKRB114,6535,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,7
Lory ,Lory,E30,Sun & Janday Conure,ABW5145,ABW5158,6536,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,7.69
Lory ,Lory,E28,Sun & Janday Conure,CKR364,CKRB107,6537,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.76
Lory ,Lory,E24,Sun & Janday Conure,GYYYO5078,4l7858,6538,02-04-2022,Infertile,,,,,,,,,,,,7.77
Lory ,Lory,D24,Sun & Janday Conure,CKRB215,TSNZ80,6539,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,7.42
Lory ,Lory,E23,Sun & Janday Conure,ABW5142,ABW5160,6540,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,9.27
Lory ,Lory,E10,Sun & Janday Conure,CKRC369,CKRC263,6541,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.29
Lory ,Lory,D09,Sun & Janday Conure,7DNG4300,ct0097,6542,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,7.39
Lory ,Lory,D09,Sun & Janday Conure,7DNG4300,ct0097,6543,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,6.62
Lory ,Lory,E05,Sun & Janday Conure,CKRC225,CKRB149,6544,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.16
Lory ,Lory,E04,Sun & Janday Conure,CKRC365,CKRC241,6545,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.32
Lory ,Lory,E04,Sun & Janday Conure,CKRC365,CKRC241,6546,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,8.16
Lory ,Lory,D36,Sun & Janday Conure,7NG2122,BH7318,6547,02-04-2022,Fertile,09-04-2022,,,,,,,,,,,7.18
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6548,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,8.61
Conure,Sun Conure,A32,Sun & Janday Conure,CKRC339,CKRD317,6549,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,8.06
Conure,Sun Conure,A41,Sun & Janday Conure,GB2719,GB2955,6550,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,6.18
Lory ,Lory,F37,Sun & Janday Conure,CKRD1421,7000,6551,04-04-2022,Infertile,,,,,,,,,,,,7.49
Lory ,Lory,D48,Sun & Janday Conure,CKRC303,CKRC291,6552,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,6.08
Lory ,Lory,D46,Sun & Janday Conure,MVF845,BB858/11-126,6553,04-04-2022,Infertile,,,,,,,,,,,,6.08
Lory ,Lory,E37,Sun & Janday Conure,YUV304,YUV398,6554,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,5.95
Lory ,Lory,D36,Sun & Janday Conure,7NG2122,BH7318,6555,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,6.72
Lory ,Lory,E30,Sun & Janday Conure,ABW5145,ABW5158,6556,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,8.15
Lory ,Lory,E28,Sun & Janday Conure,CKR364,CKRB107,6557,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,8.88
Lory ,Lory,D24,Sun & Janday Conure,CKRB215,TSNZ80,6558,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,7.94
Lory ,Lory,E23,Sun & Janday Conure,ABW5142,ABW5160,6559,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,9.08
Lory ,Lory,E10,Sun & Janday Conure,CKRC369,CKRC263,6560,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,8.05
Lory ,Lory,E05,Sun & Janday Conure,CKRC225,CKRB149,6561,04-04-2022,Fertile,11-04-2022,,,,,,,,,,,7.42
Conure,Lory,H04,Sun & Janday Conure,CKRE1302,CKRE1626,6562,04-04-2022,Broken,,,,,,,,,,,,
Conure,Sun Conure,B03,Sun & Janday Conure,GB3167,GB2871,6563,11-04-2022,,,,,,,,,,,,,7.9
Conure,Sun Conure,B03,Sun & Janday Conure,GB3167,GB2871,6564,11-04-2022,,,,,,,,,,,,,8.03
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6565,11-04-2022,,,,,,,,,,,,,8.82
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6566,11-04-2022,,,,,,,,,,,,,8.59
Conure,Sun Conure,B26,Sun & Janday Conure,GB2892,GB2932,6567,11-04-2022,,,,,,,,,,,,,5.84
Conure,Sun Conure,A41,Sun & Janday Conure,GB2719,GB2955,6568,11-04-2022,,,,,,,,,,,,,5.68
Conure,Sun Conure,A41,Sun & Janday Conure,GB2719,GB2955,6569,11-04-2022,,,,,,,,,,,,,5.99
Parrot,Sun Conure,A43,Sun & Janday Conure,CKR30,CKRB196,6570,11-04-2022,,,,,,,,,,,,,12.05
Conure,Sun Conure,A56,Sun & Janday Conure,GB2898,GB2933,6571,11-04-2022,,,,,,,,,,,,,7.3
Lory ,Lory,E09,Sun & Janday Conure,Sunil664,Sunil637,6572,11-04-2022,Crack,,,,,,,,,,,,9.24
Lory ,Lory,E09,Sun & Janday Conure,Sunil664,Sunil637,6573,11-04-2022,,,,,,,,,,,,,9.56
Lory ,Lory,D28,Sun & Janday Conure,GF0346,CKRA158,6574,11-04-2022,,,,,,,,,,,,,5.12
Lory ,Lory,D28,Sun & Janday Conure,GF0346,CKRA158,6575,11-04-2022,,,,,,,,,,,,,3.02
Lory ,Lory,D30,Sun & Janday Conure,CKRA480,CKRA417,6576,11-04-2022,,,,,,,,,,,,,7
Lory ,Lory,D33,Sun & Janday Conure,SA256,CKRB050,6577,11-04-2022,,,,,,,,,,,,,7.28
Lory ,Lory,E34,Sun & Janday Conure,CKR221,CKR361,6578,11-04-2022,,,,,,,,,,,,,7.78
Lory ,Lory,E34,Sun & Janday Conure,CKR221,CKR361,6579,11-04-2022,,,,,,,,,,,,,7.6
Lory ,Lory,E34,Sun & Janday Conure,CKR221,CKR361,6580,11-04-2022,,,,,,,,,,,,,7.06
Lory ,Lory,E37,Sun & Janday Conure,YUV304,YUV398,6581,11-04-2022,,,,,,,,,,,,,5.93
Lory ,Lory,D38,Sun & Janday Conure,HL7810,CKR182/TE4550,6582,11-04-2022,Crack,,,,,,,,,,,,6.8
Lory ,Lory,D38,Sun & Janday Conure,HL7810,CKR182/TE4550,6583,11-04-2022,,,,,,,,,,,,,6.19
Lory ,Lory,E42,Sun & Janday Conure,CKRA438,CKRA435,6584,11-04-2022,,,,,,,,,,,,,8
Lory ,Lory,E43,Sun & Janday Conure,CKRC315,CKRC294,6585,11-04-2022,,,,,,,,,,,,,7.21
Lory ,Lory,F33,Sun & Janday Conure,CKRD1576,7L6697,6586,11-04-2022,,,,,,,,,,,,,5.75
Lory ,Lory,D46,Sun & Janday Conure,MVF845,BB858/11-126,6587,11-04-2022,,,,,,,,,,,,,6
Lory ,Lory,D48,Sun & Janday Conure,CKRC303,CKRC291,6588,11-04-2022,,,,,,,,,,,,,6.38
Conure,Lory,A56,Sun & Janday Conure,GB2898,GB2933,6589,11-04-2022,Crack,,,,,,,,,,,,7
Parrot,Sun Conure,B05,Sun & Janday Conure,CKRB211,266,6590,15-04-2022,,,,,,,,,,,,,9.56
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6591,15-04-2022,,,,,,,,,,,,,7.76
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6592,15-04-2022,,,,,,,,,,,,,8.64
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6593,15-04-2022,,,,,,,,,,,,,8.74
Conure,Sun Conure,B41,Sun Conure,GB2914,GB3068,6594,15-04-2022,,,,,,,,,,,,,7.54
Parrot,Sun Conure,A43,Caique,CKR30,CKRB196,6595,15-04-2022,,,,,,,,,,,,,11.54
Lory ,Lory,F25,Olive Swainson Lorikeet,7L6689,CKRD579,6596,15-04-2022,,,,,,,,,,,,,7.48
Lory ,Lory,F33,Olive Swainson Lorikeet,CKRD1576,7L6697,6597,15-04-2022,,,,,,,,,,,,,6.65
Lory ,Lory,D45,Green Napped Lorikeet + Swainson Lorikeet,CKRC197,YUV293,6598,15-04-2022,,,,,,,,,,,,,8.45
Lory ,Lory,E45,Scaly Breasted Lorikeet  + Olive Scaly Breasted Lorikeet,TC6AQ238,AP8377,6599,15-04-2022,,,,,,,,,,,,,5.52
Lory ,Lory,D44,Red Collared Lorikeet,CKRC206,CKRC199,6600,15-04-2022,,,,,,,,,,,,,5.93
Lory ,Lory,D44,Red Collared Lorikeet,CKRC206,CKRC199,6601,15-04-2022,,,,,,,,,,,,,6
Lory ,Lory,E43,Red Collared Lorikeet,CKRC315,CKRC294,6602,15-04-2022,,,,,,,,,,,,,7.93
Lory ,Lory,D39,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6603,15-04-2022,,,,,,,,,,,,,8.22
Lory ,Lory,D33,Swainson Lorikeet,SA256,CKRB050,6604,15-04-2022,,,,,,,,,,,,,8.54
Lory ,Lory,E29,Red Collared Lorikeet,CKRC204,CKRC208,6605,15-04-2022,,,,,,,,,,,,,6.43
Lory ,Lory,E29,Red Collared Lorikeet,CKRC204,CKRC208,6606,15-04-2022,,,,,,,,,,,,,6.45
Lory ,Lory,D26,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC257,NORING,6607,15-04-2022,,,,,,,,,,,,,6.46
Lory ,Lory,D26,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC257,NORING,6608,15-04-2022,,,,,,,,,,,,,7.64
Lory ,Lory,D25,Red Lory ,215,ABW5147,6609,15-04-2022,,,,,,,,,,,,,7.92
Lory ,Lory,E25,Red Collared Lorikeet,YMSBRC773,YO5067,6610,15-04-2022,,,,,,,,,,,,,8.38
Lory ,Lory,E25,Red Collared Lorikeet,YMSBRC773,YO5067,6611,15-04-2022,,,,,,,,,,,,,7.9
Lory ,Lory,E15,Red Lory ,ABW5141,5153,6612,15-04-2022,,,,,,,,,,,,,7.89
Lory ,Lory,E15,Red Lory ,ABW5141,5153,6613,15-04-2022,,,,,,,,,,,,,8.43
Lory ,Lory,D01,Yellow Bibbed Lory,CKRC407,CKRC422,6614,15-04-2022,,,,,,,,,,,,,7.23
Lory ,Lory,D25,Red Lory ,215,ABW5147,6615,15-04-2022,,,,,,,,,,,,,7.86
Monk,Macaw,M12(NB-3),Monk,,,6617,16-04-2022,,,,,,,,,,,,,4.4
Monk,Macaw,M12(NB-3),Monk,,,6618,16-04-2022,,,,,,,,,,,,,5.19
Monk,Macaw,M12(NB-3),Monk,,,6619,16-04-2022,,,,,,,,,,,,,4.71
Monk,Macaw,M12(NB-3),Monk,,,6620,16-04-2022,,,,,,,,,,,,,5.24
Monk,Macaw,M12(NB-9),Monk,,,6621,16-04-2022,,,,,,,,,,,,,5.66
Monk,Macaw,M12(NB-9),Monk,,,6622,16-04-2022,,,,,,,,,,,,,5.73
Monk,Macaw,M12(NB-10),Lutino Monk,,,6623,16-04-2022,,,,,,,,,,,,,7.61
Monk,Macaw,M12(NB-10),Lutino Monk,,,6624,16-04-2022,,,,,,,,,,,,,6.24
