Aviary,Group,Species,Section,Rawmaterial,Target,Actualtype
 , , , ,,,
,,,,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,MORNING,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
Garden,Lory,Red Lory , ,WhiteChanna(g),0.1, 
 , , ,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,AFTERNOON,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
,,,,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,,MORNING,Carrot(Kg)-100g,, 
,,, ,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
Garden,LORY,Black Capped Lory,,Waterquantityformixing(L),0.2, 
 , , , ,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,AFTERNOON,Beetroot(Kg)-k0,0.05, 
,,, ,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
 , , , , , , 
,,,,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,MORNING,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
Garden,LORY,Yellow Bibbed Lory,,Waterquantityformixing(L),0.2, 
 , , , ,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,AFTERNOON,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
 , , , , , , 
,,,,,, 
,,,,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,MORNING,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
Garden,LORY,Red Lory ,,Waterquantityformixing(L),0.2, 
 , , , ,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,AFTERNOON,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
 , , , , , , 
,,,,,, 
,,,,,, 
,,,,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,MORNING,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
