Section,RAW MATERIALS,TARGET (g)
morning,White Channa (g),0.2
morning,Black Channa  (g),0.05
morning,Green Gram  (g),0.1
morning,Tor Dal  (g),0.025
morning,Guava (Kg) - 250g,1000
morning,Papaya (Kg) - 250g,
morning,Carrot (Kg) - 250g,
morning,Beetroot (Kg) - 250kg,
morning,Oats (Kg),0.25
morning,Egg- Garden cage,0.177
morning,Water quantity for boiling (L),4L
morning,Water quantity for mixing (L),2L
afternoon,White Channa,0.25
afternoon,Black Channa,0.05
afternoon,Green Gram,0.1
afternoon,Tor Dal,0.025
afternoon,Guava (Kg) - 250g,1000
afternoon,Papaya (Kg) - 250g,
afternoon,Carrot (Kg) - 250g,
afternoon,Beetroot (Kg) - 250kg,
afternoon,Oats,0.25
afternoon,Water quantity for boiling,4L
afternoon,Water quantity for mixing,2L
afternoon,White Channa,0.45
afternoon,Black Channa,0.2
afternoon,Green Gram,0.3
afternoon,Tor Dal,0.1
afternoon,Rice,0.23
afternoon,Guava- 2kg,4
afternoon,Papaya - 2kg,
afternoon,Egg- Amazon,0.1
afternoon,Egg- Parrot Aruvi,0.15
afternoon,Water quantity for boiling,4L
afternoon,Water quantity for mixing,300ml
afternoon,Sunflower seeds (Kg),4.6
afternoon,Water quantity for boiling,4L
afternoon,Water quantity for mixing,300ml
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
