Section,Raw Materials,Target,Actual type
Morning,White Channa,0.45,Weekly once
Morning,Black Channa,0.2,Weekly once
Morning,Green Gram,0.3,Weekly once
Morning,Tor Dal,0.1,Weekly once
Morning,Rice,0.23,Daily once
Morning,Guava- 2kg,4,Daily twice
Morning,Papaya - 2kg,,Daily twice
Morning,Egg- Amazon,0.1,Daily twice
Morning,Egg- Parrot Aruvi,0.15,Daily twice
Morning,Water quantity for boiling,4L,Daily twice
Morning,Water quantity for mixing,300ml,Daily twice
afternoon,Sunflower seeds (Kg),4.6,Daily once
afternoon,Water quantity for boiling,4L,Daily twice
afternoon,Water quantity for mixing,300ml,Daily twice
