Particulars,Type
Broiler Feed-pre starter,Feed
A19 HE,Feed
A18 ,Feed
Syringe- 1ml,Surgical items
Syringe- 3ml,Surgical items
Syringe- 5ml,Surgical items
Syringe- 10ml,Surgical items
Syringe- 20ml,Surgical items
Medicine,Surgical items
Rubber Catheter 6MM,Surgical items
Rubber Catheter 5 MM,Surgical items
Butterfly IV Tube,Surgical items
Gloves - Large,Surgical items
Gloves - Medium,Surgical items
Mask,Surgical items
News Paper,Surgical items
Apron,Surgical items
Shoe cover,Surgical items
Probiotic,Suppliment
Aminoacids (provi boost),Suppliment
Peanut Butter,Suppliment
RL,Suppliment
DNS,Suppliment
D25,Suppliment
Immuno care,Suppliment
Immunol ,Suppliment
Tissue paper,Cleaning material
Garbage Bags- Medium,Cleaning material
Garbage Bags- Large,Cleaning material
Virkon S,Cleaning material
Surgical Sprit,Cleaning material
Lyzol,Cleaning material
Room spray,Cleaning material
Detol,Cleaning material
Prill,Cleaning material
Cucumber,Fruits
Guava,Fruits
Muskmelon,Fruits
Papaya,Fruits
Watermelon,Fruits
Avarakai,Vegetables
Beans,Vegetables
Beetroot,Vegetables
Carrot,Vegetables
Fresh green peas,Vegetables
Capsicum,Vegetables
Chana - Black,Sprouts
Chana- White,Sprouts
Green Gram,Sprouts
Kidney bean(Rajma),Sprouts
Soya,Sprouts
Wheat ,Sprouts
Lentils,Sprouts
Fox Tail Millet- Thinai,Seeds Small
Chick pea (White),Seeds Small
Maize,Seeds Small
Cowpea,Seeds Small
Sesame Seeds (El Seed),Seeds Small
Sesame Seeds- Black (El Seed),Seeds Small
Safflower seeds,Seeds Small
Sunflower seeds(Stripped),Seeds Small
Almond,Nuts
Macadamia,Nuts
Wall nuts,Nuts
Brazil Nut,Nuts
Hazzel Nut,Nuts
Cashew,Nuts
Fig- Dried,Nuts
Pista,Nuts
Egg,Ingredience
Honey,Ingredience
Olive oil,Ingredience
Groundnut oil,Ingredience
Sun flower oil,Ingredience
Medicine,Medicine
Rice,Ingredience
Oats,Ingredience
Peanut Butter,Ingredience
Groviplex,Suppliment
Vimral,Suppliment
Ostovet,Suppliment
Rex,Suppliment
Lyzol,Cleaning materials
Bleeching powder,Cleaning materials
Detol,Cleaning materials
Prill,Cleaning materials
Dish cleaner scrube,Cleaning materials
Electrical and Plumbing Maintance,Repairs and Maintenance
Cylinder,Birds Maintenance
Seeds and Nuts trasport,Freight
