Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Macaw,Thendral,T06,Blue Gold Macaw,22,CKR0083,2596,11-04-2022,Fertile,25-04-2022,th&green rot,,,,,,,,Late,03-05-2022,23.95
Macaw,Solai,S09,Blue Gold Macaw,CKR0056,JFS207,2597,18-04-2022,Fertile,25-04-2022,,,,24.38,07-05-2022,3.48,Normal,,,,34.77
Parrot,Aruvi,A12,Gray parrot,CKR0011,VPW293,2598,21-04-2022,Infertile,,,,,,,,,,,,19.36
Amazon,Aruvi,A23,Blue Fronted Amazon,10WA15,LDFC853/016,2599,21-04-2022,Infertile,,,,,,,,,,,,13.24
Cockatoo,Vasantham,V05,Medium Sulphur Cockatoo,CKR03,CKR0002,2600,21-04-2022,Fertile,25-04-2022,,20.3,12-05-2022,16.84,14-05-2022,2.08,Assist,,,,22.16
Macaw,Solai,S09,Blue Gold Macaw,CKR0056,JFS207,2601,21-04-2022,Fertile,25-04-2022,,,,,,,,,,,31.7
Parrot,Aruvi,A12,Gray parrot,CKR 0011,VPW293,2602,25-04-2022,Infertile,,,,,,,,,,,,19
Parrot,Aruvi,A12,Gray parrot,CKR 0011,VPW293,2603,02-05-2022,Infertile,,,,,,,,,,,,17.07
Macaw,Thendral,T11,Blue Gold Macaw,JFS208,JFS223,2604,06-05-2022,Fertile,,,,,,,,,,,,33
Macaw,Thendral,T11,Blue Gold Macaw,JFS208,JFS223,2605,06-05-2022,Fertile,,,,,,,,,,,,34
Macaw,Thendral,T06,Blue Gold Macaw,22,CKR0083,2606,06-05-2022,Fertile,,,,,,,,,,,,27
Macaw,Thendral,T06,Blue Gold Macaw,22,CKR0083,2607,06-05-2022,Fertile,,,,,,,,,,,,27
Macaw,Thendral,T06,Blue Gold Macaw,22,CKR0083,2608,06-05-2022,Fertile,,,,,,,,,,,,27.89
Macaw,Thendral,T11,Blue Gold Macaw,JFS208,JFS223,2609,09-05-2022,Fertile,,,,,,,,,,,,32.47
Cockatoo,Vasantham,V10,Umbrella Cockatoo,CKRC006,NORING,2610,09-05-2022,Unknown,,,,,,,,,,,,22.85
Cockatoo,Vasantham,V10,Umbrella Cockatoo,CKRC006,NORING,2611,09-05-2022,Dis,,blood ring,,,,,,,,Early,12-05-2022,25
