Group Name,Species Name,Aviary Name,Cage,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Macaw,Blue Gold Macaw,Thendral,T06,22,CKR0083,2596,11/4/2022,Fertile,25-04-2022,th&green rot,,,,,,,,Late,3/5/2022,23.95
Macaw,Blue Gold Macaw,Solai,S09,CKR0056,JFS207,2597,18-04-2022,Fertile,25-04-2022,,,,24.38,7/5/2022,3.48,Normal,,,,34.77
Parrot,Gray parrot,Aruvi,A12,CKR0011,VPW293,2598,21-04-2022,Infertile,,,,,,,,,,,,19.36
Amazon,Blue Fronted Amazon,Aruvi,A23,10WA15,LDFC853/016,2599,21-04-2022,Infertile,,,,,,,,,,,,13.24
Cockatoo,Medium Sulphur Cockatoo,Vasantham,V05,CKR03,CKR0002,2600,21-04-2022,Fertile,25-04-2022,,20.3,12/5/2022,16.84,14-05-2022,2.08,Assist,,,,22.16
Macaw,Blue Gold Macaw,Solai,S09,CKR0056,JFS207,2601,21-04-2022,Fertile,25-04-2022,,,,,,,,,,,31.7
Parrot,Gray parrot,Aruvi,A12,CKR 0011,VPW293,2602,25-04-2022,Infertile,,,,,,,,,,,,19
Parrot,Gray parrot,Aruvi,A12,CKR 0011,VPW293,2603,2/5/2022,Infertile,,,,,,,,,,,,17.07
Macaw,Blue Gold Macaw,Thendral,T11,JFS208,JFS223,2604,6/5/2022,Fertile,,,,,,,,,,,,33
Macaw,Blue Gold Macaw,Thendral,T11,JFS208,JFS223,2605,6/5/2022,Fertile,,,,,,,,,,,,34
Macaw,Blue Gold Macaw,Thendral,T06,22,CKR0083,2606,6/5/2022,Fertile,,,,,,,,,,,,27
Macaw,Blue Gold Macaw,Thendral,T06,22,CKR0083,2607,6/5/2022,Fertile,,,,,,,,,,,,27
Macaw,Blue Gold Macaw,Thendral,T06,22,CKR0083,2608,6/5/2022,Fertile,,,,,,,,,,,,27.89
Macaw,Blue Gold Macaw,Thendral,T11,JFS208,JFS223,2609,9/5/2022,Fertile,,,,,,,,,,,,32.47
Cockatoo,Umbrella Cockatoo,Vasantham,V10,CKRC006,NORING,2610,9/5/2022,Unknown,,,,,,,,,,,,22.85
Cockatoo,Umbrella Cockatoo,Vasantham,V10,CKRC006,NORING,2611,9/5/2022,Dis,,blood ring,,,,,,,,Early,12/5/2022,25
